GeneID,PP002,PP004,PP005,PP007,PP008,PP010,PP011,PP012,PP015,PP016,PP019,PP020,PP032,PP041,PP043,PP046,PP047,PP049,PP055,PP062,PP073,PP074,PP087,PP091,PP098,PP102,PP105,PP116
DDX11L1,15,1,3,2,1,6,9,2,5,16,9,0,9,3,1,3,7,0,18,22,5,3,4,1,7,16,6,0
DDX11L17,18,3,1,2,1,3,11,2,1,28,20,4,8,6,1,2,13,0,29,28,0,3,6,3,15,28,6,9
ENSG00000237094,6,1,1,1,6,1,5,1,0,1,0,2,2,2,1,0,5,1,13,3,2,7,0,1,3,1,2,0
MTND1P23,64,16,12,3,17,10,12,15,41,30,20,23,34,18,8,10,75,9,38,63,5,45,13,9,12,27,16,6
MTND2P28,1664,480,268,64,1251,365,454,583,77,884,561,418,986,1134,226,283,5842,137,943,1019,91,937,435,157,167,677,430,146
MTCO1P12,289,62,37,9,74,44,62,61,58,121,105,47,177,48,22,40,313,39,180,248,35,204,78,71,46,123,76,25
MTCO2P12,42,14,3,1,8,6,15,16,6,13,19,13,35,3,6,6,31,4,32,31,3,32,9,4,4,10,10,6
MTATP8P1,8,2,1,0,2,0,0,5,4,4,2,2,6,0,1,1,18,2,9,6,1,5,2,1,2,4,2,0
MTATP6P1,3820,1021,630,163,903,877,1044,1317,936,1883,53,1116,2487,873,505,738,3477,307,2316,2175,343,2766,1426,545,540,1829,1266,574
MTCO3P12,45,11,4,3,7,7,7,8,9,22,15,12,24,4,3,5,39,3,14,30,4,24,10,6,0,9,7,2
ENSG00000228327,1,0,3,0,4,0,1,1,1,2,1,4,0,1,3,1,1,0,2,1,0,3,1,0,5,1,3,2
ENSG00000230092,16,18,30,6,4,39,3,32,6,15,15,36,24,15,6,10,32,7,18,12,2,27,12,20,22,28,34,54
LINC01128,3,1,12,5,13,11,7,16,2,15,2,13,3,9,5,8,18,5,3,6,3,4,3,12,17,3,6,2
NOC2L,23,13,13,3,14,9,18,23,5,13,15,53,13,33,22,19,31,7,5,20,12,10,3,22,36,19,18,16
HES4,1,1,2,0,4,1,8,2,0,2,4,9,5,1,2,2,7,0,1,2,1,7,1,2,5,4,3,0
ISG15,9,10,18,15,12,9,11,19,6,15,25,29,4,23,15,5,28,22,5,12,4,11,4,15,27,22,17,8
AGRN,10,3,9,6,13,10,3,4,3,10,4,10,7,1,2,1,2,2,2,1,2,1,0,1,1,2,0,3
C1orf159,3,2,2,3,6,1,3,5,0,3,3,3,3,7,1,0,1,1,1,2,1,0,1,0,6,6,1,2
SDF4,41,22,37,21,59,33,29,46,9,38,36,62,33,53,22,27,79,17,26,46,16,17,24,43,47,45,45,62
B3GALT6,1,3,6,2,3,0,4,5,0,5,7,9,3,4,5,2,8,2,2,3,4,3,3,2,7,7,5,2
UBE2J2,18,18,14,5,39,19,20,31,8,18,17,35,15,25,17,12,49,6,23,17,9,9,6,21,30,25,19,10
ACAP3,13,7,8,6,18,7,9,16,1,9,4,15,4,12,7,5,17,3,6,3,2,5,5,7,12,3,7,4
INTS11,15,13,33,4,21,19,23,48,11,13,27,58,15,22,27,16,41,8,9,14,14,8,10,21,52,8,33,15
CPTP,9,5,6,2,14,4,3,4,1,7,5,9,3,5,1,3,16,0,7,7,3,6,4,3,12,5,7,4
DVL1,8,3,10,3,14,17,9,11,3,8,5,9,8,6,3,4,37,2,3,4,7,1,6,3,4,3,5,5
AURKAIP1,39,20,39,13,62,17,15,43,8,21,29,83,12,49,21,20,92,6,16,22,24,17,14,27,59,35,34,32
CCNL2,12,7,11,5,22,13,9,10,2,7,12,28,10,21,9,6,23,2,7,6,5,4,2,2,12,6,11,8
MRPL20-AS1,6,2,7,1,9,4,6,9,3,4,4,15,1,7,4,1,7,3,0,4,0,2,0,2,6,3,8,3
MRPL20,17,14,23,5,21,23,11,41,5,15,22,49,11,23,23,18,48,11,8,17,13,13,6,24,49,18,19,28
VWA1,3,4,7,5,10,3,3,7,1,3,4,12,5,1,2,1,0,1,3,1,3,1,1,2,1,1,3,3
ATAD3B,3,1,5,3,10,1,4,11,2,3,2,5,2,2,2,1,3,0,0,2,3,4,1,2,10,1,4,3
ATAD3A,2,4,6,2,8,7,4,10,2,2,8,15,8,11,7,6,14,4,2,0,3,7,1,3,13,7,6,4
SSU72,151,55,80,41,119,54,47,109,14,73,80,172,67,95,60,50,216,26,78,83,31,60,34,78,175,96,90,52
FNDC10,3,4,5,2,12,8,3,3,0,3,2,2,2,4,0,2,3,0,4,0,0,3,2,4,3,2,2,1
MIB2,21,5,11,4,16,7,5,7,1,14,12,18,10,7,3,8,12,2,5,6,1,3,4,5,20,6,7,8
CDK11B,41,33,48,20,36,37,38,22,14,32,33,112,34,56,33,40,91,59,36,40,38,38,16,66,90,38,56,57
SLC35E2B,8,5,10,6,19,7,10,9,9,13,14,21,15,17,17,12,28,2,18,17,4,6,3,6,22,11,12,7
