GeneID,Sample15,Sample18,Sample21,Sample23,Sample24,Sample25,Sample28,Sample29,Sample34,Sample35,Sample38,Sample40,Sample5,Sample1,Sample10,Sample11,Sample12,Sample13,Sample14,Sample17,Sample2,Sample20,Sample22,Sample3,Sample32,Sample37,Sample39,Sample7,Sample9
Gene1,5,4,49,56,60,52,55,50,42,59,61,46,1,1,0,3,7,2,1,1,3,0,65,2,52,53,45,3,3
Gene2,0,3,50,44,66,48,44,66,56,37,45,63,3,2,4,1,1,1,1,4,1,2,54,4,57,63,44,0,4
Gene3,17,20,51,53,54,36,42,45,61,39,43,47,18,14,16,14,16,15,14,21,24,19,53,24,50,61,49,24,17
Gene4,51,52,4,3,3,2,1,0,2,4,1,2,53,42,51,47,54,52,45,52,50,36,3,40,2,1,3,40,52
Gene5,47,53,3,2,1,1,0,3,5,5,5,0,56,47,37,37,45,42,41,54,49,51,3,43,2,3,4,61,50
Gene6,2,7,8,5,5,10,4,4,3,7,7,6,3,5,5,5,7,2,6,2,10,6,5,7,4,4,4,12,4
Gene7,4,8,1,3,9,4,7,3,3,5,4,4,4,5,10,8,9,4,5,2,2,5,4,6,7,8,4,7,6
Gene8,3,7,3,3,3,6,6,4,6,4,3,10,3,3,2,9,5,10,6,2,3,5,4,4,7,10,4,6,6
Gene9,7,4,4,8,4,6,12,6,8,4,8,7,6,12,4,3,8,2,8,12,3,5,2,8,5,2,4,8,6
Gene10,7,8,4,5,5,1,6,3,10,4,5,11,9,6,4,6,3,5,4,4,5,9,8,5,2,14,4,4,3
Gene11,5,7,6,7,2,7,3,1,4,6,4,4,3,8,0,8,4,2,9,9,9,2,8,6,4,7,5,4,8
Gene12,6,7,7,4,9,4,2,5,4,4,2,2,5,4,7,9,4,5,4,5,10,7,4,2,4,5,6,5,6
Gene13,7,6,4,2,3,8,9,2,4,1,6,5,6,9,5,4,3,4,6,7,4,5,5,8,3,7,8,3,2
Gene14,4,6,6,6,4,3,4,2,2,4,4,3,13,5,4,6,4,5,7,6,9,6,5,3,5,7,3,7,4
Gene15,5,1,5,7,5,4,3,5,6,2,5,4,4,4,3,7,5,6,4,5,4,6,6,4,5,1,6,4,8
Gene16,14,5,5,12,3,6,2,9,7,8,5,8,6,2,4,4,9,4,13,4,7,5,8,13,5,3,10,6,3
Gene17,7,9,2,4,5,7,6,3,3,2,7,3,3,5,8,6,2,5,5,7,5,5,7,10,5,2,5,6,6
Gene18,2,4,4,5,7,7,7,6,9,7,1,3,4,6,8,5,7,1,3,5,4,10,5,5,8,10,4,9,1
Gene19,6,5,5,7,6,8,3,3,4,6,4,5,5,2,1,8,6,4,6,5,10,6,5,2,7,5,5,5,3
Gene20,7,11,4,5,1,3,2,4,6,3,3,4,5,5,8,5,8,3,3,4,5,8,6,8,1,6,5,5,8
Gene21,2,7,4,8,6,4,6,6,8,4,5,7,8,5,4,3,8,6,7,5,6,9,7,4,3,2,9,7,7
Gene22,8,1,8,3,6,5,5,3,4,4,6,6,5,4,7,5,5,4,3,14,6,6,4,5,7,6,6,8,7
Gene23,8,7,6,7,5,7,5,4,6,5,4,8,6,1,5,4,1,7,6,4,5,3,4,7,6,6,4,2,9
Gene24,7,3,2,6,0,4,4,7,6,3,5,2,10,6,4,11,4,7,2,4,1,4,6,2,2,11,4,8,6
Gene25,0,6,2,2,7,8,9,4,2,5,4,3,7,3,6,5,5,6,5,7,6,3,6,8,5,3,2,8,12
Gene26,3,2,4,5,3,7,8,4,2,2,6,1,6,1,7,3,5,5,4,6,4,8,9,5,7,2,6,3,4
Gene27,5,7,10,8,6,3,5,5,2,4,1,5,4,2,5,6,2,5,4,4,5,5,9,8,5,4,4,6,5
Gene28,4,6,4,7,5,5,1,7,5,8,7,3,8,1,3,6,4,5,5,7,6,8,5,12,8,5,10,8,7
Gene29,2,7,1,1,6,7,7,6,7,6,8,9,2,6,2,7,6,2,5,3,7,2,8,6,6,3,7,6,3
Gene30,6,9,2,4,4,4,1,4,3,7,5,3,5,10,8,2,5,4,5,5,7,9,7,6,3,7,6,7,5
Gene31,5,6,7,4,5,3,4,6,8,3,4,3,3,7,6,7,2,1,4,5,6,6,3,7,1,5,1,2,4
Gene32,3,8,5,6,2,2,5,3,4,2,5,7,6,1,4,4,12,6,8,7,11,1,6,7,5,4,7,2,9
Gene33,5,4,3,10,6,1,2,4,4,7,5,6,5,8,4,6,5,5,3,6,9,6,5,3,7,0,3,3,5
Gene34,2,5,6,2,2,6,4,3,5,3,3,2,6,4,7,4,3,5,2,6,6,6,4,5,9,4,7,7,7
Gene35,5,5,2,4,3,7,5,5,5,5,3,3,5,6,5,3,9,7,10,11,8,7,3,2,3,4,13,10,3
Gene36,3,2,4,6,3,4,9,4,6,3,2,5,7,0,6,8,5,4,5,9,4,5,6,9,5,2,6,4,6
Gene37,5,4,9,5,2,8,7,7,5,3,6,7,6,7,4,8,2,8,3,9,3,6,4,5,3,6,6,7,5
Gene38,3,3,4,10,5,8,7,4,2,5,5,7,3,2,4,3,7,1,7,2,9,4,4,1,5,6,5,4,13
Gene39,5,6,8,6,5,5,2,6,4,4,3,6,4,5,7,5,5,5,4,8,5,3,5,5,1,9,6,4,3
Gene40,6,5,4,7,6,7,3,4,6,8,5,5,3,3,1,2,10,5,3,4,7,5,7,5,4,8,3,5,6
Gene41,7,9,7,4,5,6,6,6,9,8,3,5,4,5,11,5,5,8,5,6,6,6,6,5,4,5,1,4,10
Gene42,9,7,3,6,6,4,3,7,5,6,4,5,4,5,5,3,5,3,10,7,4,7,2,5,6,5,7,5,6
Gene43,1,9,8,8,7,5,11,2,3,6,5,8,5,1,5,5,6,9,3,4,8,4,4,1,5,8,7,3,4
Gene44,6,3,4,4,5,6,9,3,4,7,4,5,7,4,5,8,2,8,1,5,5,5,4,3,7,9,11,7,3
Gene45,8,7,6,8,6,8,7,4,7,3,9,6,8,11,11,2,7,8,3,6,5,3,3,7,6,2,1,3,4
Gene46,7,5,10,2,6,4,2,9,5,7,6,7,7,4,8,6,9,4,5,4,2,5,8,11,5,7,7,6,4
Gene47,6,5,4,5,6,2,4,10,7,5,1,5,3,4,4,6,7,2,9,5,6,6,6,8,5,4,3,3,1
Gene48,3,6,7,0,4,5,3,5,4,8,4,8,6,3,1,5,10,2,3,7,6,7,5,4,10,3,6,5,6
