gene_type	gene_name
transcribed_unprocessed_pseudogene	DDX11L1
unprocessed_pseudogene	WASH7P
miRNA	MIR6859-1
lncRNA	MIR1302-2HG
miRNA	MIR1302-2
lncRNA	FAM138A
unprocessed_pseudogene	OR4G4P
transcribed_unprocessed_pseudogene	OR4G11P
protein_coding	OR4F5
lncRNA	ENSG00000238009
lncRNA	ENSG00000239945
processed_pseudogene	CICP27
processed_pseudogene	ENSG00000268903
processed_pseudogene	ENSG00000269981
lncRNA	ENSG00000239906
lncRNA	ENSG00000241860
snRNA	RNU6-1100P
lncRNA	ENSG00000241599
unprocessed_pseudogene	DDX11L17
unprocessed_pseudogene	WASH9P
miRNA	MIR6859-2
transcribed_processed_pseudogene	ENSG00000228463
lncRNA	ENSG00000286448
processed_pseudogene	RPL23AP24
lncRNA	ENSG00000236601
transcribed_unprocessed_pseudogene	ENSG00000237094
processed_pseudogene	WBP1LP7
protein_coding	OR4F29
processed_pseudogene	CICP7
unprocessed_pseudogene	ENSG00000250575
snRNA	U6
transcribed_processed_pseudogene	ENSG00000230021
lncRNA	ENSG00000235146
unprocessed_pseudogene	MTND1P23
unprocessed_pseudogene	MTND2P28
unprocessed_pseudogene	MTCO1P12
miRNA	ENSG00000278791
unprocessed_pseudogene	MTCO2P12
unprocessed_pseudogene	MTATP8P1
unprocessed_pseudogene	MTATP6P1
unprocessed_pseudogene	MTCO3P12
processed_pseudogene	WBP1LP6
protein_coding	OR4F16
processed_pseudogene	CICP3
transcribed_unprocessed_pseudogene	ENSG00000228327
snRNA	RNU6-1199P
lncRNA	ENSG00000229905
lncRNA	LINC01409
transcribed_processed_pseudogene	ENSG00000285268
transcribed_unprocessed_pseudogene	ENSG00000230092
lncRNA	FAM87B
lncRNA	LINC01128
lncRNA	LINC00115
lncRNA	ENSG00000288531
lncRNA	FAM41C
unprocessed_pseudogene	TUBB8P11
transcribed_unprocessed_pseudogene	ENSG00000283040
lncRNA	ENSG00000272438
lncRNA	ENSG00000230699
lncRNA	ENSG00000241180
lncRNA	LINC02593
protein_coding	SAMD11
protein_coding	NOC2L
protein_coding	KLHL17
protein_coding	PLEKHN1
protein_coding	PERM1
lncRNA	ENSG00000272512
protein_coding	HES4
protein_coding	ISG15
processed_pseudogene	ENSG00000231702
lncRNA	ENSG00000224969
protein_coding	AGRN
lncRNA	ENSG00000242590
transcribed_unprocessed_pseudogene	ENSG00000217801
lncRNA	ENSG00000273443
protein_coding	RNF223
protein_coding	C1orf159
lncRNA	ENSG00000285812
lncRNA	LINC01342
miRNA	MIR200B
miRNA	MIR200A
miRNA	MIR429
lncRNA	ENSG00000272141
lncRNA	TTLL10-AS1
protein_coding	TTLL10
protein_coding	TNFRSF18
protein_coding	TNFRSF4
protein_coding	SDF4
protein_coding	B3GALT6
protein_coding	C1QTNF12
lncRNA	ENSG00000260179
protein_coding	UBE2J2
lncRNA	LINC01786
protein_coding	SCNN1D
protein_coding	ACAP3
miRNA	MIR6726
protein_coding	PUSL1
protein_coding	INTS11
miRNA	MIR6727
lncRNA	ENSG00000240731
protein_coding	CPTP
protein_coding	TAS1R3
protein_coding	DVL1
miRNA	MIR6808
protein_coding	MXRA8
protein_coding	AURKAIP1
processed_pseudogene	NDUFB4P8
protein_coding	CCNL2
lncRNA	MRPL20-AS1
protein_coding	MRPL20
misc_RNA	RN7SL657P
lncRNA	MRPL20-DT
protein_coding	ANKRD65
lncRNA	ANKRD65-AS1
protein_coding	TMEM88B
lncRNA	LINC01770
protein_coding	VWA1
protein_coding	ATAD3C
protein_coding	ATAD3B
transcribed_unprocessed_pseudogene	ENSG00000284740
protein_coding	ATAD3A
protein_coding	TMEM240
protein_coding	SSU72
lncRNA	ENSG00000215014
processed_pseudogene	ENSG00000274481
protein_coding	FNDC10
lncRNA	ENSG00000286989
lncRNA	ENSG00000272106
protein_coding	MIB2
protein_coding	MMP23B
protein_coding	CDK11B
lncRNA	ENSG00000272004
protein_coding	SLC35E2B
transcribed_processed_pseudogene	ENSG00000269737
unprocessed_pseudogene	MMP23A
