Geneid	/mnt/efs/clusterfcs/data/tfm-esther/results/procesado-1/duplicates/PP031_sorted_q10_mrkDup.bam
DDX11L1	37
WASH7P	0
MIR6859-1	0
MIR1302-2HG	0
MIR1302-2	0
FAM138A	0
OR4G4P	0
OR4G11P	0
OR4F5	0
ENSG00000238009	0
ENSG00000239945	0
CICP27	0
ENSG00000268903	1
ENSG00000269981	0
ENSG00000239906	0
ENSG00000241860	17
RNU6-1100P	0
ENSG00000241599	0
DDX11L17	30
WASH9P	9
MIR6859-2	0
ENSG00000228463	2
ENSG00000286448	0
RPL23AP24	0
ENSG00000236601	0
ENSG00000237094	23
WBP1LP7	0
OR4F29	0
CICP7	0
ENSG00000250575	0
U6	44
ENSG00000230021	2
ENSG00000235146	0
MTND1P23	36
MTND2P28	11303
MTCO1P12	311
ENSG00000278791	0
MTCO2P12	30
MTATP8P1	3
MTATP6P1	12324
MTCO3P12	22
WBP1LP6	0
OR4F16	0
CICP3	0
ENSG00000228327	44
RNU6-1199P	0
ENSG00000229905	0
LINC01409	43
ENSG00000285268	0
ENSG00000230092	333
FAM87B	6
LINC01128	49
LINC00115	13
ENSG00000288531	11
FAM41C	10
TUBB8P11	0
ENSG00000283040	2
ENSG00000272438	2
ENSG00000230699	28
ENSG00000241180	0
LINC02593	2
SAMD11	18
NOC2L	101
KLHL17	9
PLEKHN1	18
PERM1	6
ENSG00000272512	0
HES4	2
ISG15	81
ENSG00000231702	0
ENSG00000224969	0
AGRN	68
ENSG00000242590	0
ENSG00000217801	1
ENSG00000273443	0
RNF223	3
C1orf159	11
ENSG00000285812	6
LINC01342	3
MIR200B	0
MIR200A	0
MIR429	0
ENSG00000272141	0
TTLL10-AS1	1
TTLL10	2
TNFRSF18	6
TNFRSF4	3
SDF4	197
B3GALT6	37
C1QTNF12	1
ENSG00000260179	0
UBE2J2	103
LINC01786	0
SCNN1D	12
ACAP3	98
MIR6726	0
PUSL1	18
INTS11	146
MIR6727	0
ENSG00000240731	0
CPTP	19
TAS1R3	21
DVL1	71
MIR6808	0
MXRA8	21
AURKAIP1	121
NDUFB4P8	0
CCNL2	256
MRPL20-AS1	35
MRPL20	131
RN7SL657P	0
MRPL20-DT	3
ANKRD65	6
ANKRD65-AS1	0
TMEM88B	4
LINC01770	0
VWA1	11
ATAD3C	7
ATAD3B	35
ENSG00000284740	0
ATAD3A	14
TMEM240	3
SSU72	474
ENSG00000215014	12
ENSG00000274481	0
FNDC10	10
ENSG00000286989	1
ENSG00000272106	2
MIB2	49
MMP23B	0
CDK11B	358
ENSG00000272004	0
SLC35E2B	133
ENSG00000269737	15
MMP23A	0
CDK11A	35
ENSG00000268575	10
ENSG00000227775	4
SLC35E2A	22
NADK	291
GNB1	2576
GNB1-DT	5
CALML6	2
TMEM52	0
CFAP74	19
ENSG00000233542	0
GABRD	7
PRKCZ-DT	0
PRKCZ	41
ENSG00000271806	20
PRKCZ-AS1	0
FAAP20	48
ENSG00000234396	0
SKI	285
ENSG00000287356	8
MORN1	50
ENSG00000272161	0
ENSG00000269896	3
ENSG00000272420	17
RER1	132
PEX10	1
PLCH2	50
ENSG00000224387	0
ENSG00000229393	4
PANK4	56
HES5	0
ENSG00000272449	21
TNFRSF14-AS1	18
TNFRSF14	302
ENSG00000225931	0
ENSG00000228037	17
ENSG00000289610	0
PRXL2B	51
MMEL1	4
MMEL1-AS1	0
TTC34	36
ENSG00000285945	0
ENSG00000283259	0
ENSG00000233234	4
ENSG00000287396	1
ENSG00000231630	0
ENSG00000284745	0
ACTRT2	0
PRDM16-DT	18
PRDM16	24
MIR4251	0
ENSG00000226286	0
ENSG00000279839	1
ENSG00000272235	10
ENSG00000287828	0
ENSG00000286518	29
ARHGEF16	5
ENSG00000272088	1
MEGF6	32
MIR551A	0
ENSG00000238260	0
TPRG1L	120
WRAP73	55
TP73	6
TP73-AS3	0
TP73-AS2	0
TP73-AS1	62
ENSG00000276189	0
CCDC27	4
SMIM1	12
LRRC47	114
RN7SL574P	0
ENSG00000272153	11
CEP104	137
DFFB	42
C1orf174	186
LINC01134	5
LINC01346	9
LINC01345	2
LINC02780	2
ENSG00000284703	1
EEF1DP6	0
LINC01777	2
ENSG00000284694	1
ENSG00000227169	0
LINC01646	4
AJAP1	34
ENSG00000287586	2
ENSG00000284739	3
LINC02781	1
LINC02782	2
ENSG00000284616	0
ENSG00000284692	0
ENSG00000284666	7
ENSG00000260972	1
ENSG00000283356	0
ENSG00000236948	12
ENSG00000264341	0
MIR4689	0
NPHP4	18
KCNAB2	374
CHD5	51
ENSG00000285629	0
RPL22	3114
RNF207-AS1	0
RNF207	8
ICMT	29
ICMT-DT	8
HES3	0
GPR153	23
ACOT7	38
ENSG00000271746	2
HES2	1
ESPN	30
MIR4252	0
ENSG00000231868	0
TNFRSF25	4
PLEKHG5	35
NOL9	160
RNU6-731P	0
ENSG00000229519	0
TAS1R1	0
ZBTB48	58
KLHL21	42
PHF13	53
THAP3	28
DNAJC11	155
LINC01672	1
ENSG00000284744	0
CAMTA1-DT	8
CAMTA1	518
ENSG00000227950	0
ENSG00000237365	0
RNU1-8P	14
CAMTA1-IT1	7
CAMTA1-AS2	0
CAMTA1-AS1	0
ENSG00000270171	0
ENSG00000270035	0
ENSG00000269978	0
VAMP3	899
ENSG00000269925	0
PER3	93
ENSG00000236266	0
UTS2	0
TNFRSF9	12
ENSG00000270330	0
PARK7	635
Y_RNA	12720
ENSG00000284747	1
ENSG00000284716	0
ERRFI1	46
ERRFI1-DT	1
ENSG00000232848	5
ENSG00000229305	0
ENSG00000288816	0
LINC01714	0
RNU1-7P	51
ENSG00000233645	6
RNU6-991P	0
SLC45A1	4
RERE	841
RERE-AS1	14
ENSG00000221083	0
ENSG00000270282	0
RPL7P11	6
RPL7P7	0
ENSG00000226545	0
ENSG00000228423	0
RPL23AP19	1
ENO1	1279
MIR6728	0
ENO1-AS1	0
RNU6-304P	1
HMGN2P17	5
ENSG00000232208	0
ENSG00000232663	0
CA6	11
RN7SL451P	1
SLC2A7	0
SLC2A5	22
ENSG00000252404	4
GPR157	15
MIR34AHG	16
MIR34A	0
LNCTAM34A	0
H6PD	44
SPSB1	64
ENSG00000284652	5
LINC02606	5
RNA5SP40	1
ENSG00000235263	3
SLC25A33	20
ENSG00000231181	1
TMEM201	0
PIK3CD	520
PIK3CD-AS1	4
ENSG00000233268	0
PIK3CD-AS2	36
CLSTN1	215
MZT1P1	0
ENSG00000280113	0
CTNNBIP1	120
ENSG00000223989	0
ENSG00000285701	3
LZIC	627
ENSG00000228150	0
NMNAT1	45
RN7SKP269	1
TMEM274P	0
MIR5697	0
