Geneid	/mnt/efs/clusterfcs/data/tfm-esther/results/procesado-1/duplicates_rm/PP002_sorted_q10_rmDup.bam
DDX11L1	15
WASH7P	1
MIR6859-1	0
MIR1302-2HG	0
MIR1302-2	0
FAM138A	0
OR4G4P	0
OR4G11P	0
OR4F5	0
ENSG00000238009	0
ENSG00000239945	0
CICP27	0
ENSG00000268903	0
ENSG00000269981	1
ENSG00000239906	0
ENSG00000241860	2
RNU6-1100P	0
ENSG00000241599	0
DDX11L17	18
WASH9P	2
MIR6859-2	0
ENSG00000228463	2
ENSG00000286448	1
RPL23AP24	1
ENSG00000236601	0
ENSG00000237094	6
WBP1LP7	0
OR4F29	0
CICP7	3
ENSG00000250575	0
U6	6
ENSG00000230021	0
ENSG00000235146	0
MTND1P23	64
MTND2P28	1664
MTCO1P12	289
ENSG00000278791	0
MTCO2P12	42
MTATP8P1	8
MTATP6P1	3820
MTCO3P12	45
WBP1LP6	0
OR4F16	0
CICP3	1
ENSG00000228327	1
RNU6-1199P	0
ENSG00000229905	0
LINC01409	0
ENSG00000285268	0
ENSG00000230092	16
FAM87B	0
LINC01128	3
LINC00115	2
ENSG00000288531	1
FAM41C	0
TUBB8P11	0
ENSG00000283040	0
ENSG00000272438	6
ENSG00000230699	5
ENSG00000241180	0
LINC02593	0
SAMD11	7
NOC2L	23
KLHL17	4
PLEKHN1	0
PERM1	1
ENSG00000272512	0
HES4	1
ISG15	9
ENSG00000231702	0
ENSG00000224969	0
AGRN	10
ENSG00000242590	0
ENSG00000217801	0
ENSG00000273443	0
RNF223	0
C1orf159	3
ENSG00000285812	0
LINC01342	3
MIR200B	0
MIR200A	0
MIR429	0
ENSG00000272141	0
TTLL10-AS1	1
TTLL10	0
TNFRSF18	2
TNFRSF4	1
SDF4	41
B3GALT6	1
C1QTNF12	1
ENSG00000260179	0
UBE2J2	18
LINC01786	0
SCNN1D	2
ACAP3	13
MIR6726	0
PUSL1	4
INTS11	15
MIR6727	0
ENSG00000240731	1
CPTP	9
TAS1R3	0
DVL1	8
MIR6808	0
MXRA8	2
AURKAIP1	39
NDUFB4P8	0
CCNL2	12
MRPL20-AS1	6
MRPL20	17
RN7SL657P	0
MRPL20-DT	0
ANKRD65	2
ANKRD65-AS1	0
TMEM88B	0
LINC01770	0
VWA1	3
ATAD3C	5
ATAD3B	3
ENSG00000284740	1
ATAD3A	2
TMEM240	1
SSU72	151
ENSG00000215014	0
ENSG00000274481	0
FNDC10	3
ENSG00000286989	2
ENSG00000272106	3
MIB2	21
MMP23B	0
CDK11B	41
ENSG00000272004	0
SLC35E2B	8
ENSG00000269737	0
MMP23A	0
CDK11A	0
ENSG00000268575	0
ENSG00000227775	1
SLC35E2A	4
NADK	56
GNB1	1168
GNB1-DT	4
CALML6	0
TMEM52	0
CFAP74	2
ENSG00000233542	0
GABRD	2
PRKCZ-DT	1
PRKCZ	4
ENSG00000271806	3
PRKCZ-AS1	0
FAAP20	30
ENSG00000234396	0
SKI	71
ENSG00000287356	5
MORN1	2
ENSG00000272161	0
ENSG00000269896	0
ENSG00000272420	0
RER1	7
PEX10	4
PLCH2	7
ENSG00000224387	0
ENSG00000229393	0
PANK4	7
HES5	0
ENSG00000272449	13
TNFRSF14-AS1	0
TNFRSF14	32
ENSG00000225931	0
ENSG00000228037	2
ENSG00000289610	0
PRXL2B	13
MMEL1	0
MMEL1-AS1	0
TTC34	1
ENSG00000285945	0
ENSG00000283259	0
ENSG00000233234	0
ENSG00000287396	0
ENSG00000231630	0
ENSG00000284745	0
ACTRT2	0
PRDM16-DT	3
PRDM16	9
MIR4251	0
ENSG00000226286	0
ENSG00000279839	0
ENSG00000272235	2
ENSG00000287828	0
ENSG00000286518	3
ARHGEF16	2
ENSG00000272088	0
MEGF6	3
MIR551A	0
ENSG00000238260	1
TPRG1L	55
WRAP73	2
TP73	1
TP73-AS3	0
TP73-AS2	0
TP73-AS1	7
ENSG00000276189	0
CCDC27	1
SMIM1	3
LRRC47	32
RN7SL574P	0
ENSG00000272153	0
CEP104	50
