Sample	SAMPLE_NAME	MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
PP002_sorted_FR	PP002_sorted	148.0	90.0	83.0	11.0	1558878.0	164.622047	144.975677	15259617.0	FR	29.0	61.0	97.0	131.0	167.0	203.0	249.0	533.0	5515.0	18521.0	97711.0			
PP003_sorted_FR	PP003_sorted	110.0	90.0	70.0	11.0	2450902.0	135.180765	130.949628	9695025.0	FR	39.0	45.0	71.0	111.0	141.0	183.0	239.0	817.0	6379.0	18827.0	90071.0			
PP004_sorted_FR	PP004_sorted	126.0	90.0	81.0	11.0	1968786.0	150.349723	145.700482	7640393.0	FR	41.0	73.0	93.0	127.0	163.0	199.0	227.0	537.0	4593.0	15647.0	87947.0			
PP005_sorted_FR	PP005_sorted	90.0	90.0	44.0	11.0	3198427.0	111.364525	86.853986	11582972.0	FR	3.0	5.0	25.0	51.0	89.0	131.0	161.0	417.0	3927.0	13941.0	87957.0			
PP007_sorted_FR	PP007_sorted	90.0	90.0	51.0	11.0	1807101.0	99.939895	90.112616	4295939.0	FR	3.0	19.0	41.0	73.0	103.0	141.0	151.0	269.0	2303.0	9897.0	87957.0			
PP008_sorted_FR	PP008_sorted	130.0	90.0	64.0	11.0	3026591.0	142.351243	116.478318	22062927.0	FR	35.0	63.0	81.0	97.0	129.0	167.0	217.0	429.0	4601.0	17395.0	95887.0			
PP010_sorted_FR	PP010_sorted	89.0	89.0	20.0	11.0	2974428.0	96.872399	52.218694	12867215.0	FR	1.0	3.0	3.0	11.0	41.0	99.0	143.0	205.0	1111.0	7185.0	73855.0			
PP011_sorted_FR	PP011_sorted	143.0	90.0	73.0	11.0	2162242.0	156.65146	135.462527	7857610.0	FR	29.0	61.0	93.0	113.0	147.0	193.0	253.0	711.0	6119.0	18651.0	88565.0			
PP012_sorted_FR	PP012_sorted	130.0	90.0	74.0	11.0	1485974.0	154.17931	142.878139	10514616.0	FR	45.0	79.0	85.0	105.0	149.0	193.0	285.0	1217.0	7271.0	21425.0	87879.0			
PP015_sorted_FR	PP015_sorted	200.0	90.0	115.0	11.0	2338569.0	222.045327	208.371403	10614853.0	FR	47.0	99.0	153.0	207.0	231.0	289.0	361.0	919.0	7825.0	22773.0	100111.0			
PP016_sorted_FR	PP016_sorted	137.0	90.0	87.0	11.0	2658673.0	160.005709	156.275244	13266527.0	FR	43.0	83.0	101.0	135.0	175.0	209.0	249.0	687.0	6587.0	21879.0	101549.0			
PP017_sorted_FR	PP017_sorted	115.0	90.0	43.0	11.0	3389196.0	128.600837	84.869456	12584197.0	FR	31.0	51.0	55.0	65.0	87.0	123.0	169.0	337.0	3265.0	12669.0	87907.0			
PP018_sorted_FR	PP018_sorted	110.0	90.0	39.0	11.0	3428045.0	124.306594	77.115443	7484057.0	FR	37.0	41.0	45.0	57.0	79.0	113.0	155.0	249.0	1903.0	8405.0	74579.0			
PP019_sorted_FR	PP019_sorted	138.0	90.0	63.0	11.0	3128283.0	144.869134	114.185386	8050645.0	FR	23.0	47.0	75.0	97.0	127.0	165.0	213.0	373.0	4225.0	15547.0	93457.0			
PP020_sorted_FR	PP020_sorted	137.0	90.0	72.0	11.0	4479126.0	146.927312	132.866692	10272273.0	FR	27.0	55.0	85.0	107.0	145.0	191.0	243.0	817.0	5965.0	17849.0	87865.0			
PP026_sorted_FR	PP026_sorted	159.0	90.0	69.0	12.0	1914319.0	172.307191	127.47336	5684301.0	FR	27.0	57.0	95.0	137.0	139.0	157.0	241.0	797.0	6815.0	19919.0	93041.0			
PP027_sorted_FR	PP027_sorted	232.0	90.0	142.0	12.0	3157088.0	283.162719	298.070157	23907387.0	FR	59.0	111.0	159.0	217.0	285.0	321.0	741.0	3563.0	12847.0	29807.0	121757.0			
PP029_sorted_FR	PP029_sorted	131.0	90.0	89.0	11.0	1842304.0	162.149152	168.532602	8062050.0	FR	53.0	83.0	101.0	141.0	179.0	227.0	341.0	1305.0	8977.0	26191.0	115459.0			
PP031_sorted_FR	PP031_sorted	114.0	90.0	59.0	11.0	3515050.0	143.525815	115.139371	21289899.0	FR	47.0	49.0	53.0	77.0	119.0	159.0	201.0	443.0	3391.0	12261.0	87909.0			
PP032_sorted_FR	PP032_sorted	143.0	90.0	81.0	11.0	3621492.0	160.732601	143.383839	6970241.0	FR	33.0	69.0	107.0	127.0	163.0	203.0	253.0	443.0	4017.0	15309.0	90425.0			
