Sample	total_reads	avg_input_read_length	uniquely_mapped	uniquely_mapped_percent	avg_mapped_read_length	num_splices	num_annotated_splices	num_GTAG_splices	num_GCAG_splices	num_ATAC_splices	num_noncanonical_splices	mismatch_rate	deletion_rate	deletion_length	insertion_rate	insertion_length	multimapped	multimapped_percent	multimapped_toomany	multimapped_toomany_percent	unmapped_mismatches_percent	unmapped_tooshort_percent	unmapped_other_percent	unmapped_mismatches	unmapped_tooshort	unmapped_other
PP002	34939877.0	169.0	11609390.0	33.23	179.13	3782277.0	3607913.0	3721841.0	26463.0	2968.0	31005.0	0.65	0.02	1.47	0.02	1.12	3654974.0	10.46	259972.0	0.74	0.0	55.16	0.41	0	19272292	143249
PP003	31070382.0	160.0	5325474.0	17.14	172.19	2668801.0	2581222.0	2622193.0	21425.0	2359.0	22824.0	0.59	0.02	1.53	0.01	1.21	4376077.0	14.08	448361.0	1.44	0.0	66.08	1.25	0	20532076	388394
PP004	31221932.0	160.0	4925225.0	15.77	171.81	1735820.0	1658789.0	1702760.0	13744.0	1373.0	17943.0	0.65	0.02	1.46	0.02	1.18	2723183.0	8.72	235504.0	0.75	0.0	73.94	0.81	0	23085126	252894
PP005	36195926.0	164.0	5218489.0	14.42	171.14	2490459.0	2399525.0	2444806.0	19083.0	2028.0	24542.0	0.59	0.02	1.53	0.01	1.19	6373604.0	17.61	669633.0	1.85	0.0	65.07	1.06	0	23550558	383642
PP007	33841446.0	161.0	1808805.0	5.34	149.99	802552.0	758997.0	781466.0	7923.0	555.0	12608.0	0.68	0.02	1.5	0.01	1.22	2497341.0	7.38	252893.0	0.75	0.0	85.66	0.86	0	28991343	291064
PP008	32631792.0	167.0	12791522.0	39.2	181.25	5223241.0	5058670.0	5115445.0	41160.0	4658.0	61978.0	0.54	0.02	1.5	0.01	1.25	9284089.0	28.45	755038.0	2.31	0.0	28.48	1.55	0	9295256	505887
PP010	42654003.0	175.0	4885992.0	11.45	172.73	1871277.0	1773166.0	1833266.0	14764.0	1294.0	21953.0	0.63	0.02	1.52	0.01	1.23	7988624.0	18.73	918551.0	2.15	0.0	66.91	0.76	0	28536701	324135
PP011	32985885.0	170.0	5297646.0	16.06	180.25	2225486.0	2148244.0	2190710.0	16301.0	1720.0	16755.0	0.64	0.02	1.58	0.01	1.2	2564005.0	7.77	233385.0	0.71	0.0	75.06	0.4	0	24758907	131942
PP012	38689578.0	172.0	5712820.0	14.77	180.86	3212663.0	3122971.0	3163685.0	23432.0	2388.0	23158.0	0.56	0.02	1.57	0.01	1.19	4807935.0	12.43	423467.0	1.09	0.0	71.31	0.4	0	27590592	154764
PP015	32623808.0	171.0	8198960.0	25.13	185.02	3005047.0	2919976.0	2963118.0	22111.0	2664.0	17154.0	0.54	0.02	1.48	0.01	1.23	2420872.0	7.42	137913.0	0.42	0.0	66.47	0.55	0	21686619	179444
PP016	32488974.0	162.0	8606786.0	26.49	176.86	3292346.0	3159863.0	3236958.0	24647.0	2702.0	28039.0	0.66	0.02	1.41	0.02	1.17	4671964.0	14.38	427818.0	1.32	0.0	56.64	1.17	0	18402274	380132
PP017	37465523.0	176.0	7248188.0	19.35	181.16	2551432.0	2449550.0	2502072.0	19963.0	1846.0	27551.0	0.56	0.02	1.51	0.02	1.21	5341760.0	14.26	562463.0	1.5	0.0	64.49	0.4	0	24163239	149873
PP018	38626935.0	176.0	4076505.0	10.55	181.25	1316471.0	1268727.0	1288215.0	11215.0	1102.0	15939.0	0.58	0.02	1.57	0.02	1.26	3413284.0	8.84	330652.0	0.86	0.0	79.39	0.37	0	30663585	142909
PP019	38396989.0	172.0	5756394.0	14.99	178.55	1904451.0	1821856.0	1868639.0	14075.0	1541.0	20196.0	0.69	0.02	1.51	0.02	1.18	2297758.0	5.98	205874.0	0.54	0.0	78.22	0.27	0	30033294	103669
PP020	36413934.0	166.0	6494810.0	17.84	178.11	2996720.0	2910162.0	2946291.0	24236.0	2224.0	23969.0	0.71	0.02	1.55	0.02	1.19	3783434.0	10.39	382016.0	1.05	0.0	70.28	0.44	0	25593442	160232
PP026	42275958.0	190.0	3823991.0	9.05	189.19	1576478.0	1518490.0	1550881.0	11232.0	1186.0	13179.0	0.56	0.02	1.51	0.02	1.16	1861396.0	4.4	103317.0	0.24	0.0	86.25	0.06	0	36461889	25365
PP027	36895420.0	189.0	18900224.0	51.23	190.81	10097691.0	9833355.0	9955466.0	68962.0	8119.0	65144.0	0.47	0.02	1.52	0.02	1.2	5011070.0	13.58	367027.0	0.99	0.0	34.0	0.2	0	12543315	73784
PP029	32350570.0	165.0	4853551.0	15.0	175.61	2402928.0	2316427.0	2364187.0	18136.0	1795.0	18810.0	0.59	0.02	1.46	0.01	1.19	3215103.0	9.94	311730.0	0.96	0.0	73.59	0.51	0	23805209	164977
PP031	38924828.0	174.0	11813251.0	30.35	180.7	4342596.0	4202851.0	4269825.0	32410.0	3204.0	37157.0	0.59	0.02	1.6	0.02	1.24	9491419.0	24.38	881364.0	2.26	0.0	41.44	1.56	0	16131526	607268
PP032	34242393.0	169.0	5127405.0	14.97	175.62	1510403.0	1433758.0	1480539.0	11560.0	1393.0	16911.0	0.7	0.02	1.43	0.02	1.13	1847645.0	5.4	152412.0	0.45	0.0	78.84	0.34	0	26998499	116432
