Geneid	/mnt/efs/clusterfcs/data/tfm-esther/procesado-2/duplicates/PP043_sorted_q10_mrkDup.bam
DDX11L1	12
WASH7P	0
MIR6859-1	0
MIR1302-2HG	0
MIR1302-2	0
FAM138A	0
OR4G4P	0
OR4G11P	0
OR4F5	0
ENSG00000238009	0
ENSG00000239945	0
CICP27	0
ENSG00000268903	0
ENSG00000269981	0
ENSG00000239906	0
ENSG00000241860	0
RNU6-1100P	0
ENSG00000241599	0
DDX11L17	11
WASH9P	0
MIR6859-2	0
ENSG00000228463	0
ENSG00000286448	0
RPL23AP24	0
ENSG00000236601	0
ENSG00000237094	11
WBP1LP7	0
OR4F29	0
CICP7	0
ENSG00000250575	0
U6	7
ENSG00000230021	0
ENSG00000235146	0
MTND1P23	8
MTND2P28	1250
MTCO1P12	48
ENSG00000278791	0
MTCO2P12	17
MTATP8P1	1
MTATP6P1	4092
MTCO3P12	16
WBP1LP6	0
OR4F16	0
CICP3	0
ENSG00000228327	18
RNU6-1199P	0
ENSG00000229905	0
LINC01409	29
ENSG00000285268	0
ENSG00000230092	99
FAM87B	0
LINC01128	68
LINC00115	0
ENSG00000288531	0
FAM41C	0
TUBB8P11	0
ENSG00000283040	0
ENSG00000272438	0
ENSG00000230699	0
ENSG00000241180	0
LINC02593	0
SAMD11	1
NOC2L	198
KLHL17	0
PLEKHN1	2
PERM1	8
ENSG00000272512	0
HES4	5
ISG15	85
ENSG00000231702	0
ENSG00000224969	0
AGRN	2
ENSG00000242590	0
ENSG00000217801	0
ENSG00000273443	0
RNF223	0
C1orf159	27
ENSG00000285812	0
LINC01342	7
MIR200B	0
MIR200A	0
MIR429	0
ENSG00000272141	0
TTLL10-AS1	0
TTLL10	0
TNFRSF18	0
TNFRSF4	0
SDF4	183
B3GALT6	25
C1QTNF12	0
ENSG00000260179	0
UBE2J2	103
LINC01786	0
SCNN1D	0
ACAP3	38
MIR6726	0
PUSL1	8
INTS11	168
MIR6727	0
ENSG00000240731	2
CPTP	1
TAS1R3	0
DVL1	14
MIR6808	0
MXRA8	10
AURKAIP1	98
NDUFB4P8	0
CCNL2	63
MRPL20-AS1	21
MRPL20	202
RN7SL657P	0
MRPL20-DT	0
ANKRD65	3
ANKRD65-AS1	0
TMEM88B	0
LINC01770	0
VWA1	2
ATAD3C	1
ATAD3B	31
ENSG00000284740	0
ATAD3A	28
TMEM240	4
SSU72	499
ENSG00000215014	0
ENSG00000274481	0
FNDC10	0
ENSG00000286989	10
ENSG00000272106	18
MIB2	11
MMP23B	0
CDK11B	209
ENSG00000272004	0
SLC35E2B	111
ENSG00000269737	0
MMP23A	0
CDK11A	13
ENSG00000268575	11
ENSG00000227775	0
SLC35E2A	16
NADK	247
GNB1	2462
GNB1-DT	0
CALML6	0
TMEM52	0
CFAP74	6
ENSG00000233542	7
GABRD	0
PRKCZ-DT	0
PRKCZ	57
ENSG00000271806	0
PRKCZ-AS1	0
FAAP20	76
ENSG00000234396	0
SKI	274
ENSG00000287356	0
MORN1	6
ENSG00000272161	0
ENSG00000269896	1
ENSG00000272420	0
RER1	47
PEX10	10
PLCH2	28
ENSG00000224387	0
ENSG00000229393	0
PANK4	5
HES5	0
ENSG00000272449	9
TNFRSF14-AS1	30
TNFRSF14	129
ENSG00000225931	9
ENSG00000228037	0
ENSG00000289610	0
PRXL2B	28
MMEL1	37
MMEL1-AS1	0
TTC34	0
ENSG00000285945	0
ENSG00000283259	2
ENSG00000233234	14
ENSG00000287396	0
ENSG00000231630	0
ENSG00000284745	0
ACTRT2	0
PRDM16-DT	3
PRDM16	8
MIR4251	0
ENSG00000226286	0
ENSG00000279839	13
ENSG00000272235	12
ENSG00000287828	0
ENSG00000286518	17
ARHGEF16	0
ENSG00000272088	0
MEGF6	28
MIR551A	0
ENSG00000238260	8
TPRG1L	148
WRAP73	8
TP73	3
TP73-AS3	0
TP73-AS2	0
TP73-AS1	52
ENSG00000276189	0
CCDC27	0
SMIM1	13
LRRC47	60
RN7SL574P	0
ENSG00000272153	0
CEP104	53
DFFB	33
C1orf174	75
LINC01134	0
LINC01346	4
LINC01345	0
LINC02780	0
ENSG00000284703	0
EEF1DP6	0
LINC01777	1
ENSG00000284694	0
ENSG00000227169	0
LINC01646	2
AJAP1	27
ENSG00000287586	5
ENSG00000284739	0
LINC02781	0
LINC02782	0
ENSG00000284616	1
ENSG00000284692	14
ENSG00000284666	1
ENSG00000260972	0
ENSG00000283356	0
ENSG00000236948	0
ENSG00000264341	0
MIR4689	0
NPHP4	5
KCNAB2	339
CHD5	17
ENSG00000285629	0
RPL22	2629
RNF207-AS1	0
RNF207	7
ICMT	60
ICMT-DT	0
HES3	0
GPR153	9
ACOT7	30
ENSG00000271746	0
HES2	7
ESPN	152
MIR4252	0
ENSG00000231868	0
TNFRSF25	0
PLEKHG5	31
NOL9	112
RNU6-731P	0
ENSG00000229519	0
TAS1R1	24
ZBTB48	14
KLHL21	25
PHF13	19
THAP3	49
DNAJC11	196
LINC01672	0
ENSG00000284744	0
CAMTA1-DT	0
CAMTA1	216
ENSG00000227950	0
ENSG00000237365	0
RNU1-8P	0
CAMTA1-IT1	0
CAMTA1-AS2	8
CAMTA1-AS1	0
ENSG00000270171	0
ENSG00000270035	0
ENSG00000269978	0
VAMP3	544
ENSG00000269925	0
PER3	68
ENSG00000236266	2
UTS2	2
TNFRSF9	0
ENSG00000270330	0
PARK7	414
Y_RNA	858
ENSG00000284747	0
ENSG00000284716	0
ERRFI1	11
ERRFI1-DT	0
ENSG00000232848	0
ENSG00000229305	0
ENSG00000288816	0
LINC01714	0
RNU1-7P	0
