Geneid	/mnt/efs/clusterfcs/data/tfm-esther/procesado-2/duplicates_rm/PP047_sorted_q10_rmDup.bam
DDX11L1	7
WASH7P	0
MIR6859-1	0
MIR1302-2HG	0
MIR1302-2	0
FAM138A	0
OR4G4P	0
OR4G11P	1
OR4F5	0
ENSG00000238009	0
ENSG00000239945	0
CICP27	0
ENSG00000268903	0
ENSG00000269981	1
ENSG00000239906	0
ENSG00000241860	1
RNU6-1100P	0
ENSG00000241599	0
DDX11L17	13
WASH9P	2
MIR6859-2	0
ENSG00000228463	1
ENSG00000286448	0
RPL23AP24	0
ENSG00000236601	0
ENSG00000237094	5
WBP1LP7	0
OR4F29	0
CICP7	1
ENSG00000250575	0
U6	0
ENSG00000230021	0
ENSG00000235146	0
MTND1P23	75
MTND2P28	5842
MTCO1P12	313
ENSG00000278791	0
MTCO2P12	31
MTATP8P1	18
MTATP6P1	3477
MTCO3P12	39
WBP1LP6	0
OR4F16	0
CICP3	0
ENSG00000228327	1
RNU6-1199P	0
ENSG00000229905	0
LINC01409	0
ENSG00000285268	0
ENSG00000230092	32
FAM87B	0
LINC01128	18
LINC00115	1
ENSG00000288531	1
FAM41C	0
TUBB8P11	0
ENSG00000283040	0
ENSG00000272438	0
ENSG00000230699	3
ENSG00000241180	1
LINC02593	1
SAMD11	0
NOC2L	31
KLHL17	2
PLEKHN1	1
PERM1	0
ENSG00000272512	0
HES4	7
ISG15	28
ENSG00000231702	0
ENSG00000224969	0
AGRN	2
ENSG00000242590	0
ENSG00000217801	0
ENSG00000273443	0
RNF223	0
C1orf159	1
ENSG00000285812	0
LINC01342	1
MIR200B	0
MIR200A	0
MIR429	0
ENSG00000272141	0
TTLL10-AS1	1
TTLL10	0
TNFRSF18	1
TNFRSF4	0
SDF4	79
B3GALT6	8
C1QTNF12	6
ENSG00000260179	0
UBE2J2	49
LINC01786	0
SCNN1D	0
ACAP3	17
MIR6726	0
PUSL1	1
INTS11	41
MIR6727	0
ENSG00000240731	0
CPTP	16
TAS1R3	0
DVL1	37
MIR6808	0
MXRA8	0
AURKAIP1	92
NDUFB4P8	0
CCNL2	23
MRPL20-AS1	7
MRPL20	48
RN7SL657P	0
