Geneid	/mnt/efs/clusterfcs/data/tfm-esther/results/procesado-3/duplicates/RSQ_065_sorted_q10_mrkDup.bam
DDX11L1	475
WASH7P	0
MIR6859-1	0
MIR1302-2HG	0
MIR1302-2	0
FAM138A	16
OR4G4P	0
OR4G11P	0
OR4F5	0
ENSG00000238009	37
ENSG00000239945	0
CICP27	0
ENSG00000268903	0
ENSG00000269981	0
ENSG00000239906	0
ENSG00000241860	48
RNU6-1100P	0
ENSG00000241599	0
DDX11L17	830
WASH9P	1
MIR6859-2	0
ENSG00000228463	51
ENSG00000286448	0
RPL23AP24	4
ENSG00000236601	0
ENSG00000237094	54
WBP1LP7	0
OR4F29	0
CICP7	0
ENSG00000250575	0
U6	2
ENSG00000230021	22
ENSG00000235146	0
MTND1P23	155
MTND2P28	1428
MTCO1P12	1392
ENSG00000278791	0
MTCO2P12	36
MTATP8P1	3
MTATP6P1	18962
MTCO3P12	22
WBP1LP6	0
OR4F16	0
CICP3	3
ENSG00000228327	36
RNU6-1199P	0
ENSG00000229905	0
LINC01409	30
ENSG00000285268	0
ENSG00000230092	27
FAM87B	18
LINC01128	140
LINC00115	14
ENSG00000288531	12
FAM41C	1
TUBB8P11	0
ENSG00000283040	15
ENSG00000272438	1
ENSG00000230699	13
ENSG00000241180	0
LINC02593	49
SAMD11	26
NOC2L	271
KLHL17	0
PLEKHN1	21
PERM1	16
ENSG00000272512	0
HES4	10
ISG15	156
ENSG00000231702	0
ENSG00000224969	0
AGRN	225
ENSG00000242590	0
ENSG00000217801	6
ENSG00000273443	0
RNF223	27
C1orf159	49
ENSG00000285812	9
LINC01342	21
MIR200B	0
MIR200A	0
MIR429	0
ENSG00000272141	6
TTLL10-AS1	0
TTLL10	15
TNFRSF18	46
TNFRSF4	15
SDF4	259
B3GALT6	33
C1QTNF12	5
ENSG00000260179	6
UBE2J2	263
LINC01786	0
SCNN1D	1
ACAP3	79
MIR6726	0
PUSL1	0
INTS11	370
MIR6727	0
ENSG00000240731	0
CPTP	106
TAS1R3	14
DVL1	21
MIR6808	0
MXRA8	18
AURKAIP1	205
NDUFB4P8	0
CCNL2	77
MRPL20-AS1	44
MRPL20	105
RN7SL657P	0
MRPL20-DT	5
ANKRD65	18
ANKRD65-AS1	0
TMEM88B	7
LINC01770	2
VWA1	14
ATAD3C	6
ATAD3B	9
ENSG00000284740	0
ATAD3A	158
TMEM240	16
SSU72	772
ENSG00000215014	28
ENSG00000274481	0
FNDC10	65
ENSG00000286989	0
ENSG00000272106	12
MIB2	92
MMP23B	0
CDK11B	339
ENSG00000272004	0
SLC35E2B	125
ENSG00000269737	22
MMP23A	0
CDK11A	0
ENSG00000268575	13
ENSG00000227775	6
SLC35E2A	42
NADK	395
GNB1	7707
GNB1-DT	0
CALML6	4
TMEM52	0
CFAP74	114
ENSG00000233542	0
GABRD	56
PRKCZ-DT	0
PRKCZ	129
ENSG00000271806	6
PRKCZ-AS1	4
FAAP20	197
ENSG00000234396	0
SKI	799
ENSG00000287356	22
MORN1	42
ENSG00000272161	8
ENSG00000269896	5
ENSG00000272420	0
RER1	163
PEX10	1
PLCH2	33
ENSG00000224387	0
ENSG00000229393	0
PANK4	109
HES5	1
ENSG00000272449	55
TNFRSF14-AS1	31
TNFRSF14	316
ENSG00000225931	45
ENSG00000228037	21
ENSG00000289610	0
PRXL2B	162
MMEL1	39
MMEL1-AS1	0
TTC34	22
ENSG00000285945	0
ENSG00000283259	0
ENSG00000233234	0
ENSG00000287396	14
