Sample	Total	Assigned	Unassigned_Unmapped	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned
RSQ_041b_sorted_q10_mrkDup	29739916	26265264	0	0	0	0	0	0	0	0	0	0	648079	0	2826573	88.31653727602996
RSQ_041b_sorted_q10_rmDup	7126810	6256458	0	0	0	0	0	0	0	0	0	0	282900	0	587452	87.78763570236893
RSQ_049_sorted_q10_mrkDup	42066331	36249019	0	0	0	0	0	0	0	0	0	0	1659478	0	4157834	86.17109726065722
RSQ_049_sorted_q10_rmDup	4417211	3753731	0	0	0	0	0	0	0	0	0	0	301999	0	361481	84.97966250650015
RSQ_051_sorted_q10_mrkDup	50012527	32240502	0	0	0	0	0	0	0	0	0	0	13861223	0	3910802	64.46485297573545
RSQ_051_sorted_q10_rmDup	10524202	5068923	0	0	0	0	0	0	0	0	0	0	4965777	0	489502	48.164440401276984
RSQ_054_sorted_q10_mrkDup	30715318	27138169	0	0	0	0	0	0	0	0	0	0	523111	0	3054038	88.35385979074024
RSQ_054_sorted_q10_rmDup	7090831	6218876	0	0	0	0	0	0	0	0	0	0	246606	0	625349	87.70306329399192
RSQ_055_sorted_q10_mrkDup	39796775	34521656	0	0	0	0	0	0	0	0	0	0	1059446	0	4215673	86.74485809465716
RSQ_055_sorted_q10_rmDup	3970300	3434536	0	0	0	0	0	0	0	0	0	0	199500	0	336264	86.50570485857492
RSQ_060_sorted_q10_mrkDup	24896880	20940122	0	0	0	0	0	0	0	0	0	0	1619794	0	2336964	84.10741426234934
RSQ_060_sorted_q10_rmDup	554842	428234	0	0	0	0	0	0	0	0	0	0	86013	0	40595	77.18125159955447
RSQ_065_sorted_q10_mrkDup	32937092	21704370	0	0	0	0	0	0	0	0	0	0	8649121	0	2583601	65.89643675889783
RSQ_065_sorted_q10_rmDup	3556477	1581138	0	0	0	0	0	0	0	0	0	0	1825465	0	149874	44.45798468540637
