Sample	Samtools_mqc-generalstats-samtools-flagstat_total	Samtools_mqc-generalstats-samtools-mapped_passed	STAR_mqc-generalstats-star-uniquely_mapped_percent	STAR_mqc-generalstats-star-uniquely_mapped	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences	Picard_mqc-generalstats-picard-PERCENT_DUPLICATION	Picard_mqc-generalstats-picard-summed_median	Picard_mqc-generalstats-picard-summed_mean	featureCounts_mqc-generalstats-featurecounts-percent_assigned	featureCounts_mqc-generalstats-featurecounts-Assigned
RSQ_041b	71776706	71776706	86.54	29744135.0										
RSQ_041b_R1					76.99047751302864	47.0	147.16542284221936	18.181818181818183	34370338.0					
RSQ_041b_R2					61.75525069049873	48.0	146.93202214071914	27.27272727272727	34370338.0					
RSQ_041b__STARpass1			88.64	30465061.0										
RSQ_041b_libComplexityPicard										0.292801				
RSQ_041b_sorted											289	520.40041		
RSQ_041b_sorted_q10	59479832	59479832								0.760362				
RSQ_041b_sorted_q10_mrkDup	59479832	59479832											88.31653727602996	26265264
RSQ_041b_sorted_q10_rmDup	14253620	14253620											87.78763570236893	6256458
RSQ_049	135796208	135796208	69.53	42072031.0										
RSQ_049_R1					86.33410873694777	49.0	145.0976912320686	27.27272727272727	60511582.0					
RSQ_049_R2					66.79850337473366	50.0	144.85788819733716	27.27272727272727	60511582.0					
RSQ_049__STARpass1			69.87	42280774.0										
RSQ_049_libComplexityPicard										0.487657				
RSQ_049_sorted											255	491.494325		
RSQ_049_sorted_q10	84132662	84132662								0.894994				
RSQ_049_sorted_q10_mrkDup	84132662	84132662											86.17109726065722	36249019
RSQ_049_sorted_q10_rmDup	8834422	8834422											84.97966250650015	3753731
RSQ_051	147405525	147405525	77.92	50017536.0										
RSQ_051_R1					76.73228931183849	47.0	140.92979871632528	27.27272727272727	64194923.0					
RSQ_051_R2					54.32111651493467	47.0	140.72983519273012	18.181818181818183	64194923.0					
RSQ_051__STARpass1			78.32	50280578.0										
RSQ_051_libComplexityPicard										0.353002				
RSQ_051_sorted											177	223.212912		
RSQ_051_sorted_q10	100025054	100025054								0.789569				
RSQ_051_sorted_q10_mrkDup	100025054	100025054											64.46485297573545	32240502
RSQ_051_sorted_q10_rmDup	21048404	21048404											48.164440401276984	5068923
RSQ_054	80102479	80102479	84.91	30718176.0										
RSQ_054_R1					79.46622796076424	46.0	144.66762176763407	27.27272727272727	36179072.0					
RSQ_054_R2					63.594818447567484	47.0	144.520038048516	27.27272727272727	36179072.0					
RSQ_054__STARpass1			87.43	31633042.0										
RSQ_054_libComplexityPicard										0.287973				
RSQ_054_sorted											227	322.190329		
RSQ_054_sorted_q10	61430636	61430636								0.769143				
RSQ_054_sorted_q10_mrkDup	61430636	61430636											88.35385979074024	27138169
RSQ_054_sorted_q10_rmDup	14181662	14181662											87.70306329399192	6218876
RSQ_055	134096405	134096405	71.08	39802409.0										
RSQ_055_R1					85.91108859721115	50.0	144.75282700836647	27.27272727272727	56000188.0					
RSQ_055_R2					64.73284628575686	52.0	144.54237778630315	18.181818181818183	56000188.0					
RSQ_055__STARpass1			71.4	39984149.0										
RSQ_055_libComplexityPicard										0.479761				
RSQ_055_sorted											286	589.720903		
RSQ_055_sorted_q10	79593550	79593550								0.900236				
RSQ_055_sorted_q10_mrkDup	79593550	79593550											86.74485809465716	34521656
RSQ_055_sorted_q10_rmDup	7940600	7940600											86.50570485857492	3434536
RSQ_060	79620551	79620551	44.42	24908202.0										
RSQ_060_R1					92.33768801750558	52.0	141.25811039559	18.181818181818183	56068381.0					
RSQ_060_R2					80.12594397882316	53.0	141.11824955316615	27.27272727272727	56068381.0					
RSQ_060__STARpass1			44.55	24976486.0										
RSQ_060_libComplexityPicard										0.786928				
RSQ_060_sorted											305	673.2214180000001		
RSQ_060_sorted_q10	49793760	49793760								0.977714				
RSQ_060_sorted_q10_mrkDup	49793760	49793760											84.10741426234934	20940122
RSQ_060_sorted_q10_rmDup	1109684	1109684											77.18125159955447	428234
RSQ_065	81525321	81525321	80.65	32942476.0										
RSQ_065_R1					84.52402778333122	48.0	145.90377534429788	18.181818181818183	40844937.0					
RSQ_065_R2					60.83816075342558	49.0	145.70889660081983	18.181818181818183	40844937.0					
RSQ_065__STARpass1			81.22	33175720.0										
RSQ_065_libComplexityPicard										0.501423				
RSQ_065_sorted											197	312.181883		
RSQ_065_sorted_q10	65874184	65874184								0.892022				
RSQ_065_sorted_q10_mrkDup	65874184	65874184											65.89643675889783	21704370
RSQ_065_sorted_q10_rmDup	7112954	7112954											44.45798468540637	1581138
