Sample	LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
RSQ_041b_libComplexityPicard	Unknown	0.0	31420425.0	0.0	0.0	0.0	9199932.0	79302.0	0.292801	42796687.0
RSQ_041b_sorted_q10	Unknown Library	0.0	29739916.0	0.0	0.0	0.0	22613106.0	287577.0	0.760362	7251716.0
RSQ_049_libComplexityPicard	Unknown	0.0	46798950.0	0.0	0.0	0.0	22821843.0	94395.0	0.487657	30661516.0
RSQ_049_sorted_q10	Unknown Library	0.0	42066331.0	0.0	0.0	0.0	37649120.0	373615.0	0.894994	4417562.0
RSQ_051_libComplexityPicard	Unknown	0.0	54901097.0	0.0	0.0	0.0	19380204.0	101062.0	0.353002	58280445.0
RSQ_051_sorted_q10	Unknown Library	0.0	50012527.0	0.0	0.0	0.0	39488325.0	391640.0	0.789569	10623692.0
RSQ_054_libComplexityPicard	Unknown	0.0	33129769.0	0.0	0.0	0.0	9540482.0	58684.0	0.287973	46022869.0
RSQ_054_sorted_q10	Unknown Library	0.0	30715318.0	0.0	0.0	0.0	23624487.0	262320.0	0.769143	7195294.0
RSQ_055_libComplexityPicard	Unknown	0.0	44868247.0	0.0	0.0	0.0	21526016.0	74314.0	0.479761	30187706.0
RSQ_055_sorted_q10	Unknown Library	0.0	39796775.0	0.0	0.0	0.0	35826475.0	339222.0	0.900236	3970491.0
RSQ_060_libComplexityPicard	Unknown	0.0	27903148.0	0.0	0.0	0.0	21957768.0	56784.0	0.786928	6003452.0
RSQ_060_sorted_q10	Unknown Library	0.0	24896880.0	0.0	0.0	0.0	24342038.0	246907.0	0.977714	554842.0
RSQ_065_libComplexityPicard	Unknown	0.0	34693541.0	0.0	0.0	0.0	17396144.0	78316.0	0.501423	21699485.0
RSQ_065_sorted_q10	Unknown Library	0.0	32937092.0	0.0	0.0	0.0	29380615.0	362804.0	0.892022	3556851.0
