Sample	total_passed	total_failed	secondary_passed	secondary_failed	supplementary_passed	supplementary_failed	duplicates_passed	duplicates_failed	mapped_passed	mapped_failed	mapped_passed_pct	mapped_failed_pct	paired in sequencing_passed	paired in sequencing_failed	read1_passed	read1_failed	read2_passed	read2_failed	properly paired_passed	properly paired_failed	properly paired_passed_pct	properly paired_failed_pct	with itself and mate mapped_passed	with itself and mate mapped_failed	singletons_passed	singletons_failed	singletons_passed_pct	singletons_failed_pct	with mate mapped to a different chr_passed	with mate mapped to a different chr_failed	with mate mapped to a different chr (mapQ >= 5)_passed	with mate mapped to a different chr (mapQ >= 5)_failed	flagstat_total
RSQ_041b	71776706	0	8078425	0	0	0	0	0	71776706	0	100.0	nan	63698281	0	31850834	0	31847447	0	63693846	0	99.99	nan	63693846	0	4435	0	0.01	nan	0	0	0	0	71776706
RSQ_041b_sorted_q10	59479832	0	0	0	0	0	0	0	59479832	0	100.0	nan	59479832	0	29739916	0	29739916	0	59479832	0	100.0	nan	59479832	0	0	0	0.0	nan	0	0	0	0	59479832
RSQ_041b_sorted_q10_mrkDup	59479832	0	0	0	0	0	45226212	0	59479832	0	100.0	nan	59479832	0	29739916	0	29739916	0	59479832	0	100.0	nan	59479832	0	0	0	0.0	nan	0	0	0	0	59479832
RSQ_041b_sorted_q10_rmDup	14253620	0	0	0	0	0	0	0	14253620	0	100.0	nan	14253620	0	7126810	0	7126810	0	14253620	0	100.0	nan	14253620	0	0	0	0.0	nan	0	0	0	0	14253620
RSQ_049	135796208	0	41154615	0	0	0	0	0	135796208	0	100.0	nan	94641593	0	47323178	0	47318415	0	94635710	0	99.99	nan	94635710	0	5883	0	0.01	nan	0	0	0	0	135796208
RSQ_049_sorted_q10	84132662	0	0	0	0	0	0	0	84132662	0	100.0	nan	84132662	0	42066331	0	42066331	0	84132662	0	100.0	nan	84132662	0	0	0	0.0	nan	0	0	0	0	84132662
RSQ_049_sorted_q10_mrkDup	84132662	0	0	0	0	0	75298240	0	84132662	0	100.0	nan	84132662	0	42066331	0	42066331	0	84132662	0	100.0	nan	84132662	0	0	0	0.0	nan	0	0	0	0	84132662
RSQ_049_sorted_q10_rmDup	8834422	0	0	0	0	0	0	0	8834422	0	100.0	nan	8834422	0	4417211	0	4417211	0	8834422	0	100.0	nan	8834422	0	0	0	0.0	nan	0	0	0	0	8834422
RSQ_051	147405525	0	36324464	0	0	0	0	0	147405525	0	100.0	nan	111081061	0	55541499	0	55539562	0	111075372	0	99.99	nan	111075372	0	5689	0	0.01	nan	0	0	0	0	147405525
RSQ_051_sorted_q10	100025054	0	0	0	0	0	0	0	100025054	0	100.0	nan	100025054	0	50012527	0	50012527	0	100025054	0	100.0	nan	100025054	0	0	0	0.0	nan	0	0	0	0	100025054
RSQ_051_sorted_q10_mrkDup	100025054	0	0	0	0	0	78976650	0	100025054	0	100.0	nan	100025054	0	50012527	0	50012527	0	100025054	0	100.0	nan	100025054	0	0	0	0.0	nan	0	0	0	0	100025054
RSQ_051_sorted_q10_rmDup	21048404	0	0	0	0	0	0	0	21048404	0	100.0	nan	21048404	0	10524202	0	10524202	0	21048404	0	100.0	nan	21048404	0	0	0	0.0	nan	0	0	0	0	21048404
RSQ_054	80102479	0	13068109	0	0	0	0	0	80102479	0	100.0	nan	67034370	0	33518283	0	33516087	0	67031288	0	100.0	nan	67031288	0	3082	0	0.0	nan	0	0	0	0	80102479
RSQ_054_sorted_q10	61430636	0	0	0	0	0	0	0	61430636	0	100.0	nan	61430636	0	30715318	0	30715318	0	61430636	0	100.0	nan	61430636	0	0	0	0.0	nan	0	0	0	0	61430636
RSQ_054_sorted_q10_mrkDup	61430636	0	0	0	0	0	47248974	0	61430636	0	100.0	nan	61430636	0	30715318	0	30715318	0	61430636	0	100.0	nan	61430636	0	0	0	0.0	nan	0	0	0	0	61430636
RSQ_054_sorted_q10_rmDup	14181662	0	0	0	0	0	0	0	14181662	0	100.0	nan	14181662	0	7090831	0	7090831	0	14181662	0	100.0	nan	14181662	0	0	0	0.0	nan	0	0	0	0	14181662
RSQ_055	134096405	0	43180293	0	0	0	0	0	134096405	0	100.0	nan	90916112	0	45460004	0	45456108	0	90910094	0	99.99	nan	90910094	0	6018	0	0.01	nan	0	0	0	0	134096405
RSQ_055_sorted_q10	79593550	0	0	0	0	0	0	0	79593550	0	100.0	nan	79593550	0	39796775	0	39796775	0	79593550	0	100.0	nan	79593550	0	0	0	0.0	nan	0	0	0	0	79593550
RSQ_055_sorted_q10_mrkDup	79593550	0	0	0	0	0	71652950	0	79593550	0	100.0	nan	79593550	0	39796775	0	39796775	0	79593550	0	100.0	nan	79593550	0	0	0	0.0	nan	0	0	0	0	79593550
RSQ_055_sorted_q10_rmDup	7940600	0	0	0	0	0	0	0	7940600	0	100.0	nan	7940600	0	3970300	0	3970300	0	7940600	0	100.0	nan	7940600	0	0	0	0.0	nan	0	0	0	0	7940600
RSQ_060	79620551	0	23183807	0	0	0	0	0	79620551	0	100.0	nan	56436744	0	28215831	0	28220913	0	56420392	0	99.97	nan	56420392	0	16352	0	0.03	nan	0	0	0	0	79620551
RSQ_060_sorted_q10	49793760	0	0	0	0	0	0	0	49793760	0	100.0	nan	49793760	0	24896880	0	24896880	0	49793760	0	100.0	nan	49793760	0	0	0	0.0	nan	0	0	0	0	49793760
RSQ_060_sorted_q10_mrkDup	49793760	0	0	0	0	0	48684076	0	49793760	0	100.0	nan	49793760	0	24896880	0	24896880	0	49793760	0	100.0	nan	49793760	0	0	0	0.0	nan	0	0	0	0	49793760
RSQ_060_sorted_q10_rmDup	1109684	0	0	0	0	0	0	0	1109684	0	100.0	nan	1109684	0	554842	0	554842	0	1109684	0	100.0	nan	1109684	0	0	0	0.0	nan	0	0	0	0	1109684
RSQ_065	81525321	0	11382266	0	0	0	0	0	81525321	0	100.0	nan	70143055	0	35072800	0	35070255	0	70137050	0	99.99	nan	70137050	0	6005	0	0.01	nan	0	0	0	0	81525321
RSQ_065_sorted_q10	65874184	0	0	0	0	0	0	0	65874184	0	100.0	nan	65874184	0	32937092	0	32937092	0	65874184	0	100.0	nan	65874184	0	0	0	0.0	nan	0	0	0	0	65874184
RSQ_065_sorted_q10_mrkDup	65874184	0	0	0	0	0	58761230	0	65874184	0	100.0	nan	65874184	0	32937092	0	32937092	0	65874184	0	100.0	nan	65874184	0	0	0	0.0	nan	0	0	0	0	65874184
