Sample	total_reads	avg_input_read_length	uniquely_mapped	uniquely_mapped_percent	avg_mapped_read_length	num_splices	num_annotated_splices	num_GTAG_splices	num_GCAG_splices	num_ATAC_splices	num_noncanonical_splices	mismatch_rate	deletion_rate	deletion_length	insertion_rate	insertion_length	multimapped	multimapped_percent	multimapped_toomany	multimapped_toomany_percent	unmapped_mismatches_percent	unmapped_tooshort_percent	unmapped_other_percent	unmapped_mismatches	unmapped_tooshort	unmapped_other
RSQ_041b	34370338.0	294.0	29744135.0	86.54	287.41	23030396.0	22895769.0	22712119.0	157365.0	19916.0	140996.0	0.52	0.02	1.44	0.01	1.26	2107223.0	6.13	29772.0	0.09	0.0	7.17	0.07	0	2465141	24067
RSQ_041b__STARpass1	34370338.0	294.0	30465061.0	88.64	287.44	22222689.0	21272395.0	21938874.0	135045.0	19707.0	129063.0	0.52	0.02	1.44	0.02	1.22	1385130.0	4.03	26951.0	0.08	0.0	7.19	0.07	0	2469157	24039
RSQ_049	60511582.0	289.0	42072031.0	69.53	287.55	40159072.0	39991145.0	39576457.0	305570.0	30079.0	246966.0	0.5	0.04	1.66	0.01	1.31	5251707.0	8.68	367863.0	0.61	0.0	20.96	0.22	0	12686818	133163
RSQ_049__STARpass1	60511582.0	289.0	42280774.0	69.87	287.69	37946241.0	37131121.0	37458240.0	261724.0	29956.0	196321.0	0.5	0.04	1.67	0.02	1.29	5312776.0	8.78	323691.0	0.53	0.0	20.28	0.54	0	12267687	326654
RSQ_051	64194923.0	281.0	50017536.0	77.92	277.89	27614519.0	27404760.0	27075401.0	208811.0	21324.0	308983.0	0.52	0.03	1.6	0.02	1.38	5525839.0	8.61	333024.0	0.52	0.0	12.58	0.38	0	8074617	243907
RSQ_051__STARpass1	64194923.0	281.0	50280578.0	78.32	278.21	24687850.0	23863710.0	24279655.0	166939.0	20155.0	221101.0	0.52	0.03	1.61	0.02	1.35	5451467.0	8.49	343642.0	0.54	0.0	12.17	0.48	0	7811154	308082
RSQ_054	36179072.0	289.0	30718176.0	84.91	284.31	19191857.0	19074070.0	18910714.0	129344.0	14824.0	136975.0	0.55	0.03	1.47	0.01	1.22	2800550.0	7.74	57479.0	0.16	0.0	7.03	0.16	0	2544945	57922
RSQ_054__STARpass1	36179072.0	289.0	31633042.0	87.43	284.46	17810746.0	17190217.0	17576862.0	104197.0	13737.0	115950.0	0.55	0.03	1.47	0.02	1.17	1926522.0	5.32	53691.0	0.15	0.0	6.99	0.1	0	2529628	36189
RSQ_055	56000188.0	289.0	39802409.0	71.08	288.57	39279357.0	39091231.0	38674576.0	290919.0	29419.0	284443.0	0.49	0.03	1.52	0.01	1.31	5658656.0	10.1	356472.0	0.64	0.0	17.97	0.21	0	10065030	117621
RSQ_055__STARpass1	56000188.0	289.0	39984149.0	71.4	288.76	37035871.0	36215921.0	36534247.0	257004.0	29132.0	215488.0	0.49	0.03	1.52	0.02	1.29	5722385.0	10.22	321107.0	0.57	0.0	17.48	0.33	0	9787767	184780
RSQ_060	56068381.0	282.0	24908202.0	44.42	287.94	24418153.0	24269561.0	23954512.0	196957.0	19586.0	247098.0	0.52	0.03	1.68	0.01	1.36	3318346.0	5.92	136983.0	0.24	0.0	48.83	0.58	0	27379636	325214
RSQ_060__STARpass1	56068381.0	282.0	24976486.0	44.55	288.17	23164755.0	22558039.0	22776351.0	168275.0	19528.0	200601.0	0.52	0.03	1.68	0.02	1.34	3275383.0	5.84	136628.0	0.24	0.0	48.84	0.53	0	27382733	297151
RSQ_065	40844937.0	291.0	32942476.0	80.65	285.65	21249723.0	21051681.0	20753223.0	165286.0	17259.0	313955.0	0.49	0.03	1.67	0.02	1.34	2132054.0	5.22	78889.0	0.19	0.0	13.57	0.36	0	5544429	147089
RSQ_065__STARpass1	40844937.0	291.0	33175720.0	81.22	285.76	19645661.0	18896034.0	19266368.0	133008.0	16995.0	229290.0	0.49	0.03	1.67	0.02	1.32	1911061.0	4.68	81834.0	0.2	0.0	13.55	0.35	0	5533393	142929
