Sample	LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
PP091_libComplexityPicard	Unknown	0.0	5817898.0	0.0	0.0	0.0	3577452.0	32.0	0.614905	2476955.0
PP091_sorted_q10	Unknown Library	0.0	3461860.0	0.0	0.0	0.0	2467713.0	164.0	0.712829	1029874.0
PP097_libComplexityPicard	Unknown	0.0	5720349.0	0.0	0.0	0.0	3370485.0	28.0	0.58921	2659302.0
PP097_sorted_q10	Unknown Library	0.0	4197147.0	0.0	0.0	0.0	3088454.0	194.0	0.735846	1137057.0
PP098_libComplexityPicard	Unknown	0.0	19643114.0	0.0	0.0	0.0	15437103.0	112.0	0.785879	4247678.0
PP098_sorted_q10	Unknown Library	0.0	15359348.0	0.0	0.0	0.0	13293750.0	938.0	0.865515	2066822.0
PP099_libComplexityPicard	Unknown	0.0	10992402.0	0.0	0.0	0.0	7728773.0	134.0	0.703101	3397262.0
PP099_sorted_q10	Unknown Library	0.0	7192604.0	0.0	0.0	0.0	5676191.0	465.0	0.789171	1530335.0
PP102_libComplexityPicard	Unknown	0.0	9900709.0	0.0	0.0	0.0	6478144.0	39.0	0.654311	3669693.0
PP102_sorted_q10	Unknown Library	0.0	8125668.0	0.0	0.0	0.0	6322120.0	536.0	0.778043	1824803.0
PP103_libComplexityPicard	Unknown	0.0	17989663.0	0.0	0.0	0.0	10627345.0	60.0	0.590747	8319533.0
PP103_sorted_q10	Unknown Library	0.0	15546153.0	0.0	0.0	0.0	10581540.0	709.0	0.680653	5232883.0
PP105_libComplexityPicard	Unknown	0.0	10752490.0	0.0	0.0	0.0	7951215.0	85.0	0.739477	2868883.0
PP105_sorted_q10	Unknown Library	0.0	8480237.0	0.0	0.0	0.0	7201718.0	607.0	0.849235	1280219.0
PP109_libComplexityPicard	Unknown	0.0	17060000.0	0.0	0.0	0.0	11553851.0	98.0	0.677248	5815610.0
PP109_sorted_q10	Unknown Library	0.0	15097974.0	0.0	0.0	0.0	12133392.0	1124.0	0.803644	2983512.0
PP111_libComplexityPicard	Unknown	0.0	10867609.0	0.0	0.0	0.0	8434341.0	83.0	0.776099	2463146.0
PP111_sorted_q10	Unknown Library	0.0	7915613.0	0.0	0.0	0.0	6869183.0	672.0	0.867802	1046975.0
PP114_libComplexityPicard	Unknown	0.0	4032547.0	0.0	0.0	0.0	2741627.0	25.0	0.679875	1361302.0
PP114_sorted_q10	Unknown Library	0.0	2644119.0	0.0	0.0	0.0	2056204.0	122.0	0.777652	594901.0
PP116_libComplexityPicard	Unknown	0.0	7461046.0	0.0	0.0	0.0	5207732.0	46.0	0.69799	2351866.0
PP116_sorted_q10	Unknown Library	0.0	5226317.0	0.0	0.0	0.0	4242172.0	219.0	0.811694	989165.0
RSQ_041b_sorted_q10	Unknown Library	0.0	30460820.0	0.0	0.0	0.0	23344101.0	295864.0	0.766365	7228037.0
RSQ_047_libComplexityPicard	Unknown	0.0	22047739.0	0.0	0.0	0.0	7701182.0	48311.0	0.349296	23758525.0
RSQ_047_sorted_q10	Unknown Library	0.0	20199746.0	0.0	0.0	0.0	16716501.0	192493.0	0.82756	3494647.0
RSQ_049_sorted_q10	Unknown Library	0.0	39503402.0	0.0	0.0	0.0	35174552.0	351112.0	0.890418	4329361.0
RSQ_051_sorted_q10	Unknown Library	0.0	50275747.0	0.0	0.0	0.0	39789900.0	395644.0	0.791433	10580720.0
RSQ_054_sorted_q10	Unknown Library	0.0	31630181.0	0.0	0.0	0.0	24575837.0	272419.0	0.776974	7142916.0
RSQ_066_libComplexityPicard	Unknown	0.0	28254690.0	0.0	0.0	0.0	16238827.0	50787.0	0.57473	13805817.0
RSQ_066_sorted_q10	Unknown Library	0.0	26404100.0	0.0	0.0	0.0	24224659.0	258533.0	0.917458	2179454.0
