Geneid	/mnt/efs/clusterfcs/data/tfm-esther/results/procesado-4/duplicates/RSQ_169b_sorted_q10_mrkDup.bam
DDX11L1	311
WASH7P	11
MIR6859-1	0
MIR1302-2HG	0
MIR1302-2	0
FAM138A	0
OR4G4P	0
OR4G11P	0
OR4F5	0
ENSG00000238009	0
ENSG00000239945	0
CICP27	0
ENSG00000268903	0
ENSG00000269981	0
ENSG00000239906	0
ENSG00000241860	0
RNU6-1100P	0
ENSG00000241599	0
DDX11L17	132
WASH9P	3
MIR6859-2	0
ENSG00000228463	8
ENSG00000286448	0
RPL23AP24	0
ENSG00000236601	0
ENSG00000237094	0
WBP1LP7	0
OR4F29	0
CICP7	0
ENSG00000250575	0
U6	0
ENSG00000230021	0
ENSG00000235146	0
MTND1P23	143
MTND2P28	8041
MTCO1P12	2036
ENSG00000278791	0
MTCO2P12	53
MTATP8P1	18
MTATP6P1	58757
MTCO3P12	62
WBP1LP6	0
OR4F16	0
CICP3	0
ENSG00000228327	1
RNU6-1199P	0
ENSG00000229905	0
LINC01409	40
ENSG00000285268	0
ENSG00000230092	32
FAM87B	0
LINC01128	114
LINC00115	0
ENSG00000288531	0
FAM41C	0
TUBB8P11	0
ENSG00000283040	0
ENSG00000272438	0
ENSG00000230699	0
ENSG00000241180	0
LINC02593	0
SAMD11	0
NOC2L	604
KLHL17	0
PLEKHN1	0
PERM1	0
ENSG00000272512	0
HES4	15
ISG15	165
ENSG00000231702	0
ENSG00000224969	0
AGRN	0
ENSG00000242590	0
ENSG00000217801	0
ENSG00000273443	0
RNF223	0
C1orf159	13
ENSG00000285812	0
LINC01342	0
MIR200B	0
MIR200A	0
MIR429	0
ENSG00000272141	0
TTLL10-AS1	0
TTLL10	0
TNFRSF18	0
TNFRSF4	0
SDF4	141
B3GALT6	83
C1QTNF12	0
ENSG00000260179	0
UBE2J2	306
LINC01786	0
SCNN1D	29
ACAP3	63
MIR6726	0
PUSL1	0
INTS11	663
MIR6727	0
ENSG00000240731	0
CPTP	222
TAS1R3	0
DVL1	42
MIR6808	0
MXRA8	0
AURKAIP1	980
NDUFB4P8	0
CCNL2	202
MRPL20-AS1	44
MRPL20	66
RN7SL657P	0
MRPL20-DT	0
ANKRD65	36
ANKRD65-AS1	0
TMEM88B	0
LINC01770	0
VWA1	23
ATAD3C	0
ATAD3B	0
ENSG00000284740	0
ATAD3A	176
TMEM240	0
SSU72	2292
ENSG00000215014	16
ENSG00000274481	0
FNDC10	30
ENSG00000286989	0
ENSG00000272106	0
MIB2	388
MMP23B	0
CDK11B	1452
ENSG00000272004	0
SLC35E2B	191
ENSG00000269737	0
MMP23A	0
CDK11A	1
ENSG00000268575	101
ENSG00000227775	0
SLC35E2A	232
NADK	1051
GNB1	12847
