Geneid	/mnt/efs/clusterfcs/data/tfm-esther/results/procesado-4/duplicates_rm/RSQ_072_sorted_q10_rmDup.bam
DDX11L1	10
WASH7P	0
MIR6859-1	0
MIR1302-2HG	0
MIR1302-2	0
FAM138A	0
OR4G4P	0
OR4G11P	0
OR4F5	0
ENSG00000238009	0
ENSG00000239945	0
CICP27	0
ENSG00000268903	0
ENSG00000269981	0
ENSG00000239906	0
ENSG00000241860	0
RNU6-1100P	0
ENSG00000241599	0
DDX11L17	6
WASH9P	1
MIR6859-2	0
ENSG00000228463	3
ENSG00000286448	0
RPL23AP24	0
ENSG00000236601	0
ENSG00000237094	1
WBP1LP7	0
OR4F29	0
CICP7	0
ENSG00000250575	0
U6	0
ENSG00000230021	0
ENSG00000235146	0
MTND1P23	27
MTND2P28	632
MTCO1P12	273
ENSG00000278791	0
MTCO2P12	20
MTATP8P1	2
MTATP6P1	1303
MTCO3P12	18
WBP1LP6	0
OR4F16	0
CICP3	0
ENSG00000228327	0
RNU6-1199P	0
ENSG00000229905	0
LINC01409	0
ENSG00000285268	0
ENSG00000230092	2
FAM87B	0
LINC01128	8
LINC00115	0
ENSG00000288531	0
FAM41C	0
TUBB8P11	0
ENSG00000283040	0
ENSG00000272438	0
ENSG00000230699	1
ENSG00000241180	0
LINC02593	0
SAMD11	0
NOC2L	29
KLHL17	0
PLEKHN1	0
PERM1	0
ENSG00000272512	0
HES4	0
ISG15	2
ENSG00000231702	0
ENSG00000224969	0
AGRN	4
ENSG00000242590	0
ENSG00000217801	0
ENSG00000273443	0
RNF223	0
C1orf159	3
ENSG00000285812	0
LINC01342	0
MIR200B	0
MIR200A	0
MIR429	0
ENSG00000272141	0
TTLL10-AS1	0
TTLL10	0
TNFRSF18	0
TNFRSF4	1
SDF4	11
B3GALT6	2
C1QTNF12	0
ENSG00000260179	0
UBE2J2	7
LINC01786	0
SCNN1D	0
ACAP3	5
MIR6726	0
PUSL1	4
INTS11	13
MIR6727	0
ENSG00000240731	0
CPTP	7
TAS1R3	0
DVL1	2
MIR6808	0
MXRA8	1
AURKAIP1	7
NDUFB4P8	0
CCNL2	4
MRPL20-AS1	1
MRPL20	14
RN7SL657P	0
MRPL20-DT	0
ANKRD65	0
ANKRD65-AS1	0
TMEM88B	0
LINC01770	0
VWA1	1
ATAD3C	0
ATAD3B	2
ENSG00000284740	0
ATAD3A	5
TMEM240	0
SSU72	66
ENSG00000215014	0
ENSG00000274481	0
FNDC10	1
ENSG00000286989	0
ENSG00000272106	2
MIB2	6
MMP23B	0
CDK11B	54
ENSG00000272004	1
SLC35E2B	7
ENSG00000269737	0
MMP23A	0
CDK11A	4
ENSG00000268575	2
ENSG00000227775	2
SLC35E2A	1
NADK	31
GNB1	408
GNB1-DT	0
CALML6	0
TMEM52	0
CFAP74	0
ENSG00000233542	0
GABRD	2
PRKCZ-DT	0
PRKCZ	0
ENSG00000271806	0
PRKCZ-AS1	0
FAAP20	6
ENSG00000234396	0
SKI	32
ENSG00000287356	0
MORN1	0
ENSG00000272161	0
ENSG00000269896	0
ENSG00000272420	0
RER1	5
PEX10	0
PLCH2	0
ENSG00000224387	0
ENSG00000229393	0
PANK4	4
HES5	0
ENSG00000272449	1
TNFRSF14-AS1	0
TNFRSF14	18
ENSG00000225931	0
ENSG00000228037	0
ENSG00000289610	0
PRXL2B	3
MMEL1	2
MMEL1-AS1	0
TTC34	0
ENSG00000285945	0
ENSG00000283259	0
ENSG00000233234	0
ENSG00000287396	0
ENSG00000231630	0
ENSG00000284745	0
ACTRT2	0
PRDM16-DT	0
PRDM16	5
MIR4251	0
ENSG00000226286	0
ENSG00000279839	0
ENSG00000272235	0
ENSG00000287828	0
ENSG00000286518	2
ARHGEF16	0
ENSG00000272088	0
MEGF6	0
MIR551A	0
ENSG00000238260	0
TPRG1L	18
WRAP73	0
TP73	1
TP73-AS3	0
TP73-AS2	0
TP73-AS1	8
ENSG00000276189	0
CCDC27	1
SMIM1	0
LRRC47	13
RN7SL574P	0
ENSG00000272153	0
CEP104	14
DFFB	1
C1orf174	19
LINC01134	1
LINC01346	0
LINC01345	0
LINC02780	0
ENSG00000284703	0
EEF1DP6	0
LINC01777	1
ENSG00000284694	0
ENSG00000227169	0
LINC01646	1
AJAP1	0
ENSG00000287586	0
ENSG00000284739	0
LINC02781	0
LINC02782	0
ENSG00000284616	0
ENSG00000284692	0
ENSG00000284666	0
ENSG00000260972	0
ENSG00000283356	0
ENSG00000236948	0
ENSG00000264341	0
MIR4689	0
NPHP4	3
KCNAB2	57
CHD5	3
ENSG00000285629	0
RPL22	28
RNF207-AS1	0
RNF207	0
ICMT	4
ICMT-DT	0
HES3	0
GPR153	0
ACOT7	23
ENSG00000271746	0
HES2	0
ESPN	2
MIR4252	0
ENSG00000231868	0
TNFRSF25	2
PLEKHG5	1
NOL9	15
RNU6-731P	0
ENSG00000229519	0
TAS1R1	0
ZBTB48	1
KLHL21	1
PHF13	3
THAP3	5
DNAJC11	17
LINC01672	0
ENSG00000284744	0
CAMTA1-DT	0
CAMTA1	55
ENSG00000227950	0
ENSG00000237365	0
RNU1-8P	0
CAMTA1-IT1	0
CAMTA1-AS2	0
CAMTA1-AS1	0
ENSG00000270171	0
ENSG00000270035	0
ENSG00000269978	0
VAMP3	82
ENSG00000269925	0
PER3	18
ENSG00000236266	0
UTS2	2
TNFRSF9	2
ENSG00000270330	0
PARK7	90
Y_RNA	92
ENSG00000284747	0
ENSG00000284716	0
ERRFI1	0
ERRFI1-DT	0
ENSG00000232848	0
ENSG00000229305	0
ENSG00000288816	0
LINC01714	0
RNU1-7P	0
ENSG00000233645	0
RNU6-991P	0
SLC45A1	0
RERE	76
RERE-AS1	0
ENSG00000221083	0
ENSG00000270282	0
RPL7P11	0
RPL7P7	0
ENSG00000226545	0
ENSG00000228423	0
RPL23AP19	0
ENO1	217
MIR6728	0
ENO1-AS1	0
RNU6-304P	0
HMGN2P17	0
ENSG00000232208	0
ENSG00000232663	0
CA6	0
RN7SL451P	0
SLC2A7	0
SLC2A5	1
ENSG00000252404	0
GPR157	0
MIR34AHG	0
MIR34A	0
LNCTAM34A	0
H6PD	5
SPSB1	2
ENSG00000284652	0
LINC02606	0
RNA5SP40	0
ENSG00000235263	0
SLC25A33	0
ENSG00000231181	0
TMEM201	0
PIK3CD	60
PIK3CD-AS1	0
ENSG00000233268	0
PIK3CD-AS2	0
CLSTN1	14
MZT1P1	0
ENSG00000280113	0
CTNNBIP1	8
ENSG00000223989	0
ENSG00000285701	0
LZIC	82
ENSG00000228150	0
NMNAT1	4
RN7SKP269	0
TMEM274P	0
MIR5697	0
ENSG00000241326	0
RBP7	16
UBE4B	65
ENSG00000224340	0
PGAM1P11	0
RNU6-828P	0
KIF1B	53
ENSG00000264881	0
RNU6-37P	0
RN7SL731P	0
ENSG00000284735	0
ENSG00000284642	0
PGD	109
ENSG00000271989	0
CENPS-CORT	0
CENPS	0
CORT	0
DFFA	14
ENSG00000203469	0
PEX14	0
ENSG00000287727	0
RN7SL614P	0
CASZ1	4
ENSG00000272078	0
HSPE1P24	0
C1orf127	2
CFL1P6	0
TARDBP	53
MASP2	0
SRM	12
EXOSC10	15
ENSG00000226849	0
EXOSC10-AS1	1
MTOR	33
MTOR-AS1	1
RNU6-537P	0
ANGPTL7	0
RNU6-291P	0
RPL39P6	0
UBIAD1	1
UBE2V2P3	0
ENSG00000284646	0
MTCYBP45	0
DISP3	0
ENSG00000285833	0
LINC01647	0
ENSG00000284708	0
FBXO2	0
FBXO44	3
FBXO6	5
MAD2L2	17
DRAXIN	0
AGTRAP	4
C1orf167	0
C1orf167-AS1	0
MTHFR	11
CLCN6	3
ENSG00000276470	0
ENSG00000278852	0
NPPA	0
ENSG00000275915	0
NPPB	0
SBF1P2	0
ENSG00000285646	0
RNU5E-1	0
RNU5E-4P	0
KIAA2013	11
PLOD1	0
ENSG00000287384	0
MFN2	160
ENSG00000270914	0
MIIP	10
MIR6729	0
RN7SL649P	0
TNFRSF8	3
RNU6-777P	0
RPL23AP89	0
ENSG00000285604	0
MIR7846	0
TNFRSF1B	26
MIR4632	0
RPL10P17	0
SNORA70	0
VPS13D	57
SNORA59A	0
LINC02766	0
DHRS3	19
RNU6ATAC18P	0
MIR6730	0
ENSG00000288927	0
ENSG00000272482	0
AADACL4	0
ENSG00000226166	0
AADACL3	0
CFAP107	0
PRAMEF12	0
PRAMEF1	0
LINC01784	0
PRAMEF11	0
PRAMEF30P	0
HNRNPCL1	0
PRAMEF2	0
PRAMEF4	1
PRAMEF10	0
PRAMEF7	0
RNU6-1072P	0
PRAMEF29P	0
PRAMEF6	0
PRAMEF28P	0
PRAMEF27	0
HNRNPCL3	0
PRAMEF25	0
PRAMEF34P	0
PRAMEF35P	0
