Sample	Total	Assigned	Unassigned_Unmapped	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned
RSQ_067_sorted_q10_mrkDup	34691077	29395954	0	0	0	0	0	0	0	0	0	0	2273562	0	3021561	84.73635453866135
RSQ_067_sorted_q10_rmDup	1430691	1118816	0	0	0	0	0	0	0	0	0	0	205173	0	106702	78.20109303825915
RSQ_068_sorted_q10_mrkDup	36404891	30903830	0	0	0	0	0	0	0	0	0	0	2166388	0	3334673	84.88922546149088
RSQ_068_sorted_q10_rmDup	2000582	1564441	0	0	0	0	0	0	0	0	0	0	286151	0	149990	78.19929400544441
RSQ_069_sorted_q10_mrkDup	11604121	9781916	0	0	0	0	0	0	0	0	0	0	674980	0	1147225	84.2969148632628
RSQ_069_sorted_q10_rmDup	964046	772969	0	0	0	0	0	0	0	0	0	0	118490	0	72587	80.17968022272795
RSQ_070_sorted_q10_mrkDup	37845913	33405091	0	0	0	0	0	0	0	0	0	0	864397	0	3576425	88.26604605892318
RSQ_070_sorted_q10_rmDup	1534782	1332591	0	0	0	0	0	0	0	0	0	0	70634	0	131557	86.82607692818915
RSQ_071_sorted_q10_mrkDup	39943086	33443943	0	0	0	0	0	0	0	0	0	0	2615022	0	3884121	83.72899129526446
RSQ_071_sorted_q10_rmDup	1857503	1461808	0	0	0	0	0	0	0	0	0	0	246255	0	149440	78.69747720461287
RSQ_072_sorted_q10_mrkDup	31585718	27449257	0	0	0	0	0	0	0	0	0	0	1650755	0	2485706	86.90401465624433
RSQ_072_sorted_q10_rmDup	900883	737629	0	0	0	0	0	0	0	0	0	0	99162	0	64092	81.87844592472052
RSQ_073_sorted_q10_mrkDup	37138614	33130222	0	0	0	0	0	0	0	0	0	0	992445	0	3015947	89.20694240232014
RSQ_073_sorted_q10_rmDup	2084674	1829364	0	0	0	0	0	0	0	0	0	0	100327	0	154983	87.75300118867506
RSQ_074_sorted_q10_mrkDup	41560490	37442101	0	0	0	0	0	0	0	0	0	0	809758	0	3308631	90.09061490853453
RSQ_074_sorted_q10_rmDup	6237817	5550914	0	0	0	0	0	0	0	0	0	0	215462	0	471441	88.98808669763797
RSQ_076_sorted_q10_mrkDup	45327263	40271329	0	0	0	0	0	0	0	0	0	0	1110170	0	3945764	88.84571080323116
RSQ_076_sorted_q10_rmDup	2049703	1763174	0	0	0	0	0	0	0	0	0	0	127738	0	158791	86.02095035231933
RSQ_077_sorted_q10_mrkDup	41409902	37639492	0	0	0	0	0	0	0	0	0	0	746038	0	3024372	90.89490721325542
RSQ_077_sorted_q10_rmDup	3055337	2728231	0	0	0	0	0	0	0	0	0	0	105672	0	221434	89.29394695249655
RSQ_078_sorted_q10_mrkDup	36497420	32132532	0	0	0	0	0	0	0	0	0	0	751708	0	3613180	88.04055738734408
RSQ_078_sorted_q10_rmDup	4390080	3839435	0	0	0	0	0	0	0	0	0	0	182633	0	368012	87.4570622858809
RSQ_132_sorted_q10_mrkDup	34093012	28031248	0	0	0	0	0	0	0	0	0	0	2275648	0	3786116	82.2199223700153
RSQ_132_sorted_q10_rmDup	7946252	6231022	0	0	0	0	0	0	0	0	0	0	1084268	0	630962	78.41460351370684
RSQ_134_sorted_q10_mrkDup	33477450	23752759	0	0	0	0	0	0	0	0	0	0	6838931	0	2885760	70.95151811144517
RSQ_134_sorted_q10_rmDup	3368078	1718581	0	0	0	0	0	0	0	0	0	0	1489705	0	159792	51.02557007290211
RSQ_135_sorted_q10_mrkDup	38817382	33252852	0	0	0	0	0	0	0	0	0	0	1261450	0	4303080	85.66484983454062
RSQ_135_sorted_q10_rmDup	2913649	2402494	0	0	0	0	0	0	0	0	0	0	263722	0	247433	82.45653474388988
RSQ_138_sorted_q10_mrkDup	40411999	36202832	0	0	0	0	0	0	0	0	0	0	1296730	0	2912437	89.58436329764335
RSQ_138_sorted_q10_rmDup	662992	551018	0	0	0	0	0	0	0	0	0	0	69559	0	42415	83.11080676689915
RSQ_141_sorted_q10_mrkDup	34671505	30151676	0	0	0	0	0	0	0	0	0	0	2095466	0	2424363	86.96385115096676
RSQ_141_sorted_q10_rmDup	950998	752335	0	0	0	0	0	0	0	0	0	0	139052	0	59611	79.1100507046282
RSQ_160b_sorted_q10_mrkDup	38856779	34118796	0	0	0	0	0	0	0	0	0	0	910664	0	3827319	87.8065472179256
RSQ_160b_sorted_q10_rmDup	6015977	5179830	0	0	0	0	0	0	0	0	0	0	323818	0	512329	86.10122678328058
RSQ_169b_sorted_q10_mrkDup	35029492	31201622	0	0	0	0	0	0	0	0	0	0	1202213	0	2625657	89.072436448693
RSQ_169b_sorted_q10_rmDup	1290272	1092307	0	0	0	0	0	0	0	0	0	0	109471	0	88494	84.6571110587535
RSQ_171b_sorted_q10_mrkDup	36647451	32192353	0	0	0	0	0	0	0	0	0	0	856049	0	3599049	87.84336187529114
RSQ_171b_sorted_q10_rmDup	6815816	5939242	0	0	0	0	0	0	0	0	0	0	313601	0	562973	87.13911877902807
RSQ_177_sorted_q10_mrkDup	31519059	21644212	0	0	0	0	0	0	0	0	0	0	8018868	0	1855979	68.67023536457735
RSQ_177_sorted_q10_rmDup	4369935	1998390	0	0	0	0	0	0	0	0	0	0	2197378	0	174167	45.73042848463421
