Sample	total_reads	total_tags	total_assigned_tags	cds_exons_total_bases	cds_exons_tag_count	cds_exons_tags_kb	5_utr_exons_total_bases	5_utr_exons_tag_count	5_utr_exons_tags_kb	3_utr_exons_total_bases	3_utr_exons_tag_count	3_utr_exons_tags_kb	introns_total_bases	introns_tag_count	introns_tags_kb	tss_up_1kb_total_bases	tss_up_1kb_tag_count	tss_up_1kb_tags_kb	tss_up_5kb_tags_kb	tss_up_10kb_tags_kb	tes_down_1kb_total_bases	tes_down_1kb_tag_count	tes_down_1kb_tags_kb	tes_down_5kb_tags_kb	tes_down_10kb_tags_kb	other_intergenic_tag_count	cds_exons_tag_pct	5_utr_exons_tag_pct	3_utr_exons_tag_pct	introns_tag_pct	tss_up_1kb_tag_pct	tss_up_5kb_tag_pct	tss_up_10kb_tag_pct	tes_down_1kb_tag_pct	tes_down_5kb_tag_pct	tes_down_10kb_tag_pct	other_intergenic_tag_pct	tss_up_5kb-10kb_total_bases	tss_up_1kb-5kb_total_bases	tss_up_5kb-10kb_tag_count	tss_up_1kb-5kb_tag_count	tes_down_5kb-10kb_total_bases	tes_down_1kb-5kb_total_bases	tes_down_5kb-10kb_tag_count	tes_down_1kb-5kb_tag_count
RSQ_067_RSeQC_readDistribution	74920445	104767603	100070225	39015440	70875627	1816.6	24544196	6951494	283.22	57343407	15842982	276.28	1587580244	4941879	3.11	26098899	122455	4.69	4.1	3.08	28587031	86106	3.01	4.98	3.64	4697378	67.65032793582192	6.635156098779888	15.122023933295486	4.7169915684717925	0.11688250613121311	0.45765387989262285	0.6269142188926475	0.08218762053761981	0.5892575398522767	0.764969300672079	4.483616944066192	96140332	90890313	177330	357018	96398306	95256052	184089	531245
RSQ_068_RSeQC_readDistribution	78623868	113788924	108941467	39015440	76420096	1958.71	24544196	9753697	397.39	57343407	16295340	284.17	1587580244	4937900	3.11	26098899	142022	5.44	4.69	3.5	28587031	86317	3.02	5.01	3.58	4847457	67.15952072804555	8.571745524195308	14.320673249357732	4.339526050883476	0.12481179626938031	0.48202406765002886	0.6555989579442723	0.07585711945039572	0.5456840421480741	0.6928925701063839	4.260042919467276	96140332	90890313	197509	406468	96398306	95256052	167507	534611
RSQ_069_RSeQC_readDistribution	25636140	37869265	36137326	39015440	24683160	632.65	24544196	3322728	135.38	57343407	6071361	105.88	1587580244	1691204	1.07	26098899	41463	1.59	1.05	0.84	28587031	25650	0.9	1.04	0.86	1731939	65.17992889484387	8.774207790935472	16.03242365543667	4.465901305451796	0.10948984618529038	0.3250525195036133	0.47205563667528266	0.06773302835426037	0.3410470205851632	0.5020139683196915	4.5734687483372065	96140332	90890313	55669	81632	96398306	95256052	60957	103502
RSQ_070_RSeQC_readDistribution	79652620	112585476	109931174	39015440	81060812	2077.66	24544196	8455579	344.5	57343407	16231827	283.06	1587580244	3145233	1.98	26098899	94246	3.61	2.97	2.15	28587031	69661	2.44	3.63	2.63	2654302	71.99935096423982	7.510363947832845	14.417336566574537	2.7936400961701313	0.08371062000928077	0.30905940300860835	0.40656309877838953	0.06187387794141404	0.39977003783329923	0.5151570349980135	2.357588291406256	96140332	90890313	109775	253710	96398306	95256052	129909	380422
RSQ_071_RSeQC_readDistribution	85210578	121131700	116093760	39015440	81323484	2084.39	24544196	9779057	398.43	57343407	17894426	312.06	1587580244	5534374	3.49	26098899	109460	4.19	4.53	3.52	28587031	101537	3.55	4.8	3.69	5037940	67.13641763469018	8.073078310632146	14.772702768969642	4.568889894222569	0.09036445455648687	0.43769054673549534	0.6195273409025053	0.08382363988947567	0.4903852583592899	0.6703241182943854	4.159059932288575	96140332	90890313	220262	420722	96398306	95256052	217963	492475
RSQ_072_RSeQC_readDistribution	67181710	100059909	96342049	39015440	71255287	1826.34	24544196	7069415	288.03	57343407	12982308	226.4	1587580244	4050886	2.55	26098899	91672	3.51	2.46	2.13	28587031	76600	2.68	2.88	2.41	3717860	71.21262422895069	7.065182319923958	12.974535085775463	4.048460607734512	0.09161711310371069	0.2879794743766957	0.4533254172757643	0.07655413718195565	0.35631553492618107	0.5302383395131811	3.715634000826445	96140332	90890313	165445	196480	96398306	95256052	174027	279929
RSQ_073_RSeQC_readDistribution	81211307	130279675	125537240	39015440	92460187	2369.84	24544196	11324485	461.39	57343407	16408644	286.15	1587580244	4494917	2.83	26098899	106074	4.06	1.74	1.44	28587031	83412	2.92	2.35	2.46	4742435	70.97053857403314	8.692441856337146	12.59493777521321	3.4502058744005923	0.08142022153494012	0.15627073064159855	0.23498907254719512	0.06402533626216061	0.22319981992586332	0.41669124519998996	3.6401956022687343	96140332	90890313	102554	97515	96398306	95256052	252080	207372
RSQ_074_RSeQC_readDistribution	87892643	128550143	125216457	39015440	92556345	2372.3	24544196	9904486	403.54	57343407	17651192	307.82	1587580244	4027728	2.54	26098899	129942	4.98	3.09	2.48	28587031	71801	2.51	3.41	2.49	3333686	72.00018828450467	7.7047646691454865	13.730978113342122	3.133196047864373	0.10108273469598551	0.280849162493736	0.41038149603614216	0.0558544691778367	0.3282781256804981	0.42719516850323536	2.593296220603971	96140332	90890313	166514	231090	96398306	95256052	127158	350201
RSQ_076_RSeQC_readDistribution	99236171	160038042	153390858	39015440	113156841	2900.31	24544196	14089527	574.05	57343407	19699485	343.54	1587580244	5307743	3.34	26098899	129316	4.95	2.44	1.9	28587031	105076	3.68	3.19	3.33	6647184	70.7062143387133	8.803861146964046	12.309251446602927	3.3165508235848074	0.08080328800823494	0.17865814679237327	0.25282926168266917	0.06565688925386878	0.24661074021387988	0.4577905295792109	4.153502452873049	96140332	90890313	118702	156605	96398306	95256052	337968	289595
RSQ_077_RSeQC_readDistribution	87431945	132152875	128984384	39015440	98286998	2519.18	24544196	10151355	413.59	57343407	15359176	267.85	1587580244	4278095	2.69	26098899	114760	4.4	2.55	2.07	28587031	71186	2.49	2.49	2.12	3168491	74.37371150646553	7.681524143912874	11.622279121812522	3.2372318801236823	0.08683882208389337	0.22584752696450985	0.33366583965729085	0.05386640283081242	0.2329272064644829	0.35399229869195054	2.397595209336157	96140332	90890313	142485	183704	96398306	95256052	159991	236634
