Sample	total_passed	total_failed	secondary_passed	secondary_failed	supplementary_passed	supplementary_failed	duplicates_passed	duplicates_failed	mapped_passed	mapped_failed	mapped_passed_pct	mapped_failed_pct	paired in sequencing_passed	paired in sequencing_failed	read1_passed	read1_failed	read2_passed	read2_failed	properly paired_passed	properly paired_failed	properly paired_passed_pct	properly paired_failed_pct	with itself and mate mapped_passed	with itself and mate mapped_failed	singletons_passed	singletons_failed	singletons_passed_pct	singletons_failed_pct	with mate mapped to a different chr_passed	with mate mapped to a different chr_failed	with mate mapped to a different chr (mapQ >= 5)_passed	with mate mapped to a different chr (mapQ >= 5)_failed	flagstat_total
RSQ_067	91153605	0	16233160	0	0	0	0	0	91153605	0	100.0	nan	74920445	0	37461423	0	37459022	0	74914226	0	99.99	nan	74914226	0	6219	0	0.01	nan	0	0	0	0	91153605
RSQ_067_sorted_q10	69382154	0	0	0	0	0	0	0	69382154	0	100.0	nan	69382154	0	34691077	0	34691077	0	69382154	0	100.0	nan	69382154	0	0	0	0.0	nan	0	0	0	0	69382154
RSQ_067_sorted_q10_mrkDup	69382154	0	0	0	0	0	66520772	0	69382154	0	100.0	nan	69382154	0	34691077	0	34691077	0	69382154	0	100.0	nan	69382154	0	0	0	0.0	nan	0	0	0	0	69382154
RSQ_067_sorted_q10_rmDup	2861382	0	0	0	0	0	0	0	2861382	0	100.0	nan	2861382	0	1430691	0	1430691	0	2861382	0	100.0	nan	2861382	0	0	0	0.0	nan	0	0	0	0	2861382
RSQ_068	94712508	0	16088640	0	0	0	0	0	94712508	0	100.0	nan	78623868	0	39313850	0	39310018	0	78616852	0	99.99	nan	78616852	0	7016	0	0.01	nan	0	0	0	0	94712508
RSQ_068_sorted_q10	72809782	0	0	0	0	0	0	0	72809782	0	100.0	nan	72809782	0	36404891	0	36404891	0	72809782	0	100.0	nan	72809782	0	0	0	0.0	nan	0	0	0	0	72809782
RSQ_068_sorted_q10_mrkDup	72809782	0	0	0	0	0	68808618	0	72809782	0	100.0	nan	72809782	0	36404891	0	36404891	0	72809782	0	100.0	nan	72809782	0	0	0	0.0	nan	0	0	0	0	72809782
RSQ_068_sorted_q10_rmDup	4001164	0	0	0	0	0	0	0	4001164	0	100.0	nan	4001164	0	2000582	0	2000582	0	4001164	0	100.0	nan	4001164	0	0	0	0.0	nan	0	0	0	0	4001164
RSQ_069	33084950	0	7448810	0	0	0	0	0	33084950	0	100.0	nan	25636140	0	12818098	0	12818042	0	25632466	0	99.99	nan	25632466	0	3674	0	0.01	nan	0	0	0	0	33084950
RSQ_069_sorted_q10	23208242	0	0	0	0	0	0	0	23208242	0	100.0	nan	23208242	0	11604121	0	11604121	0	23208242	0	100.0	nan	23208242	0	0	0	0.0	nan	0	0	0	0	23208242
RSQ_069_sorted_q10_mrkDup	23208242	0	0	0	0	0	21280150	0	23208242	0	100.0	nan	23208242	0	11604121	0	11604121	0	23208242	0	100.0	nan	23208242	0	0	0	0.0	nan	0	0	0	0	23208242
RSQ_069_sorted_q10_rmDup	1928092	0	0	0	0	0	0	0	1928092	0	100.0	nan	1928092	0	964046	0	964046	0	1928092	0	100.0	nan	1928092	0	0	0	0.0	nan	0	0	0	0	1928092
RSQ_070	88371551	0	8718931	0	0	0	0	0	88371551	0	100.0	nan	79652620	0	39828749	0	39823871	0	79645168	0	99.99	nan	79645168	0	7452	0	0.01	nan	0	0	0	0	88371551
RSQ_070_sorted_q10	75691826	0	0	0	0	0	0	0	75691826	0	100.0	nan	75691826	0	37845913	0	37845913	0	75691826	0	100.0	nan	75691826	0	0	0	0.0	nan	0	0	0	0	75691826
RSQ_070_sorted_q10_mrkDup	75691826	0	0	0	0	0	72622262	0	75691826	0	100.0	nan	75691826	0	37845913	0	37845913	0	75691826	0	100.0	nan	75691826	0	0	0	0.0	nan	0	0	0	0	75691826
RSQ_070_sorted_q10_rmDup	3069564	0	0	0	0	0	0	0	3069564	0	100.0	nan	3069564	0	1534782	0	1534782	0	3069564	0	100.0	nan	3069564	0	0	0	0.0	nan	0	0	0	0	3069564
RSQ_071	99409883	0	14199305	0	0	0	0	0	99409883	0	100.0	nan	85210578	0	42606986	0	42603592	0	85203484	0	99.99	nan	85203484	0	7094	0	0.01	nan	0	0	0	0	99409883
RSQ_071_sorted_q10	79886172	0	0	0	0	0	0	0	79886172	0	100.0	nan	79886172	0	39943086	0	39943086	0	79886172	0	100.0	nan	79886172	0	0	0	0.0	nan	0	0	0	0	79886172
RSQ_071_sorted_q10_mrkDup	79886172	0	0	0	0	0	76171166	0	79886172	0	100.0	nan	79886172	0	39943086	0	39943086	0	79886172	0	100.0	nan	79886172	0	0	0	0.0	nan	0	0	0	0	79886172
RSQ_071_sorted_q10_rmDup	3715006	0	0	0	0	0	0	0	3715006	0	100.0	nan	3715006	0	1857503	0	1857503	0	3715006	0	100.0	nan	3715006	0	0	0	0.0	nan	0	0	0	0	3715006
RSQ_072	78388077	0	11206367	0	0	0	0	0	78388077	0	100.0	nan	67181710	0	33592598	0	33589112	0	67174918	0	99.99	nan	67174918	0	6792	0	0.01	nan	0	0	0	0	78388077
RSQ_072_sorted_q10	63171436	0	0	0	0	0	0	0	63171436	0	100.0	nan	63171436	0	31585718	0	31585718	0	63171436	0	100.0	nan	63171436	0	0	0	0.0	nan	0	0	0	0	63171436
RSQ_072_sorted_q10_mrkDup	63171436	0	0	0	0	0	61369670	0	63171436	0	100.0	nan	63171436	0	31585718	0	31585718	0	63171436	0	100.0	nan	63171436	0	0	0	0.0	nan	0	0	0	0	63171436
RSQ_072_sorted_q10_rmDup	1801766	0	0	0	0	0	0	0	1801766	0	100.0	nan	1801766	0	900883	0	900883	0	1801766	0	100.0	nan	1801766	0	0	0	0.0	nan	0	0	0	0	1801766
RSQ_073	103190945	0	21979638	0	0	0	0	0	103190945	0	100.0	nan	81211307	0	40608707	0	40602600	0	81203310	0	99.99	nan	81203310	0	7997	0	0.01	nan	0	0	0	0	103190945
RSQ_073_sorted_q10	74277228	0	0	0	0	0	0	0	74277228	0	100.0	nan	74277228	0	37138614	0	37138614	0	74277228	0	100.0	nan	74277228	0	0	0	0.0	nan	0	0	0	0	74277228
RSQ_073_sorted_q10_mrkDup	74277228	0	0	0	0	0	70107880	0	74277228	0	100.0	nan	74277228	0	37138614	0	37138614	0	74277228	0	100.0	nan	74277228	0	0	0	0.0	nan	0	0	0	0	74277228
RSQ_073_sorted_q10_rmDup	4169348	0	0	0	0	0	0	0	4169348	0	100.0	nan	4169348	0	2084674	0	2084674	0	4169348	0	100.0	nan	4169348	0	0	0	0.0	nan	0	0	0	0	4169348
RSQ_074	99021535	0	11128892	0	0	0	0	0	99021535	0	100.0	nan	87892643	0	43949478	0	43943165	0	87884626	0	99.99	nan	87884626	0	8017	0	0.01	nan	0	0	0	0	99021535
RSQ_074_sorted_q10	83120980	0	0	0	0	0	0	0	83120980	0	100.0	nan	83120980	0	41560490	0	41560490	0	83120980	0	100.0	nan	83120980	0	0	0	0.0	nan	0	0	0	0	83120980
RSQ_074_sorted_q10_mrkDup	83120980	0	0	0	0	0	70645346	0	83120980	0	100.0	nan	83120980	0	41560490	0	41560490	0	83120980	0	100.0	nan	83120980	0	0	0	0.0	nan	0	0	0	0	83120980
RSQ_074_sorted_q10_rmDup	12475634	0	0	0	0	0	0	0	12475634	0	100.0	nan	12475634	0	6237817	0	6237817	0	12475634	0	100.0	nan	12475634	0	0	0	0.0	nan	0	0	0	0	12475634
RSQ_076	128412736	0	29176565	0	0	0	0	0	128412736	0	100.0	nan	99236171	0	49620777	0	49615394	0	99225812	0	99.99	nan	99225812	0	10359	0	0.01	nan	0	0	0	0	128412736
RSQ_076_sorted_q10	90654526	0	0	0	0	0	0	0	90654526	0	100.0	nan	90654526	0	45327263	0	45327263	0	90654526	0	100.0	nan	90654526	0	0	0	0.0	nan	0	0	0	0	90654526
RSQ_076_sorted_q10_mrkDup	90654526	0	0	0	0	0	86555120	0	90654526	0	100.0	nan	90654526	0	45327263	0	45327263	0	90654526	0	100.0	nan	90654526	0	0	0	0.0	nan	0	0	0	0	90654526
RSQ_076_sorted_q10_rmDup	4099406	0	0	0	0	0	0	0	4099406	0	100.0	nan	4099406	0	2049703	0	2049703	0	4099406	0	100.0	nan	4099406	0	0	0	0.0	nan	0	0	0	0	4099406
RSQ_077	97964067	0	10532122	0	0	0	0	0	97964067	0	100.0	nan	87431945	0	43720128	0	43711817	0	87421632	0	99.99	nan	87421632	0	10313	0	0.01	nan	0	0	0	0	97964067
RSQ_077_sorted_q10	82819804	0	0	0	0	0	0	0	82819804	0	100.0	nan	82819804	0	41409902	0	41409902	0	82819804	0	100.0	nan	82819804	0	0	0	0.0	nan	0	0	0	0	82819804
RSQ_077_sorted_q10_mrkDup	82819804	0	0	0	0	0	76709130	0	82819804	0	100.0	nan	82819804	0	41409902	0	41409902	0	82819804	0	100.0	nan	82819804	0	0	0	0.0	nan	0	0	0	0	82819804
RSQ_077_sorted_q10_rmDup	6110674	0	0	0	0	0	0	0	6110674	0	100.0	nan	6110674	0	3055337	0	3055337	0	6110674	0	100.0	nan	6110674	0	0	0	0.0	nan	0	0	0	0	6110674
RSQ_078	108088782	0	26729846	0	0	0	0	0	108088782	0	100.0	nan	81358936	0	40680964	0	40677972	0	81352708	0	99.99	nan	81352708	0	6228	0	0.01	nan	0	0	0	0	108088782
RSQ_078_sorted_q10	72994840	0	0	0	0	0	0	0	72994840	0	100.0	nan	72994840	0	36497420	0	36497420	0	72994840	0	100.0	nan	72994840	0	0	0	0.0	nan	0	0	0	0	72994840
RSQ_078_sorted_q10_mrkDup	72994840	0	0	0	0	0	64214680	0	72994840	0	100.0	nan	72994840	0	36497420	0	36497420	0	72994840	0	100.0	nan	72994840	0	0	0	0.0	nan	0	0	0	0	72994840
RSQ_078_sorted_q10_rmDup	8780160	0	0	0	0	0	0	0	8780160	0	100.0	nan	8780160	0	4390080	0	4390080	0	8780160	0	100.0	nan	8780160	0	0	0	0.0	nan	0	0	0	0	8780160
RSQ_132	91476518	0	17381693	0	0	0	0	0	91476518	0	100.0	nan	74094825	0	37048924	0	37045901	0	74090302	0	99.99	nan	74090302	0	4523	0	0.01	nan	0	0	0	0	91476518
RSQ_132_sorted_q10	68186024	0	0	0	0	0	0	0	68186024	0	100.0	nan	68186024	0	34093012	0	34093012	0	68186024	0	100.0	nan	68186024	0	0	0	0.0	nan	0	0	0	0	68186024
RSQ_132_sorted_q10_mrkDup	68186024	0	0	0	0	0	52293520	0	68186024	0	100.0	nan	68186024	0	34093012	0	34093012	0	68186024	0	100.0	nan	68186024	0	0	0	0.0	nan	0	0	0	0	68186024
RSQ_132_sorted_q10_rmDup	15892504	0	0	0	0	0	0	0	15892504	0	100.0	nan	15892504	0	7946252	0	7946252	0	15892504	0	100.0	nan	15892504	0	0	0	0.0	nan	0	0	0	0	15892504
RSQ_134	126802750	0	47242045	0	0	0	0	0	126802750	0	100.0	nan	79560705	0	39782024	0	39778681	0	79554258	0	99.99	nan	79554258	0	6447	0	0.01	nan	0	0	0	0	126802750
RSQ_134_sorted_q10	66954900	0	0	0	0	0	0	0	66954900	0	100.0	nan	66954900	0	33477450	0	33477450	0	66954900	0	100.0	nan	66954900	0	0	0	0.0	nan	0	0	0	0	66954900
