Sample	Samtools_mqc-generalstats-samtools-flagstat_total	Samtools_mqc-generalstats-samtools-mapped_passed	STAR_mqc-generalstats-star-uniquely_mapped_percent	STAR_mqc-generalstats-star-uniquely_mapped	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences	Picard_mqc-generalstats-picard-PERCENT_DUPLICATION	Picard_mqc-generalstats-picard-summed_median	Picard_mqc-generalstats-picard-summed_mean	featureCounts_mqc-generalstats-featurecounts-percent_assigned	featureCounts_mqc-generalstats-featurecounts-Assigned
RSQ_178	99474710	99474710	83.25	36560731.0										
RSQ_178_R1					82.46788007901415	49.0	147.25263352867486	27.27272727272727	43914369.0					
RSQ_178_R2					65.58629616726844	50.0	146.98994896180793	27.27272727272727	43914369.0					
RSQ_178__STARpass1			85.4	37500919.0										
RSQ_178_libComplexityPicard										0.347664				
RSQ_178_sorted											266	455.15951000000007		
RSQ_178_sorted_q10	73110850	73110850								0.833504				
RSQ_178_sorted_q10_mrkDup	73110850	73110850											87.67759368137561	32050917
RSQ_178_sorted_q10_rmDup	12172688	12172688											87.95289914602263	5353116
RSQ_179	104406301	104406301	77.87	35954821.0										
RSQ_179_R1					92.67984317247391	51.0	148.37735884280283	27.27272727272727	46173912.0					
RSQ_179_R2					79.3249470048932	54.0	148.16533268829377	18.181818181818183	46173912.0					
RSQ_179__STARpass1			78.26	36134189.0										
RSQ_179_libComplexityPicard										0.769398				
RSQ_179_sorted											485	1234.409919		
RSQ_179_sorted_q10	71892742	71892742								0.973141				
RSQ_179_sorted_q10_mrkDup	71892742	71892742											85.3678581351091	30686647
RSQ_179_sorted_q10_rmDup	1930976	1930976											80.36081235603135	775874
RSQ_180	84954646	84954646	78.43	31714480.0										
RSQ_180_R1					89.31543292413944	48.0	147.56311705746623	27.27272727272727	40438292.0					
RSQ_180_R2					72.21449486754491	49.0	147.24115160452376	27.27272727272727	40438292.0					
RSQ_180__STARpass1			79.28	32058562.0										
RSQ_180_libComplexityPicard										0.530694				
RSQ_180_sorted											299	480.922592		
RSQ_180_sorted_q10	63418272	63418272								0.926667				
RSQ_180_sorted_q10_mrkDup	63418272	63418272											88.92215795472951	28196448
RSQ_180_sorted_q10_rmDup	4650632	4650632											87.01931264395893	2023474
RSQ_181	85759011	85759011	82.3	34479147.0										
RSQ_181_R1					89.09277375628247	47.0	147.7896590477729	27.27272727272727	41896896.0					
RSQ_181_R2					72.60897672859062	48.0	147.3028109767368	27.27272727272727	41896896.0					
RSQ_181__STARpass1			83.81	35115385.0										
RSQ_181_libComplexityPicard										0.50651				
