gene,log2fc,pvalue,padj,diffexpressed
HBG2,-4.90868821120481,6.2174767517019974e-21,8.457011877665057e-17,yes
CA1,-1.9156280186992503,3.0994874365676e-11,2.1079614056096248e-7,yes
CPOX,-1.3727431564103318,1.3418449012741377e-10,6.083924782376941e-7,yes
EPB42,-1.7939799187589796,3.6943348923457775e-10,1.2562585801421817e-6,yes
HBD,-1.785641399292681,5.480823771073671e-10,1.4910032986828815e-6,yes
CENPE,-1.0155484870167977,1.5093648272034238e-9,3.4217300632701617e-6,yes
SLC6A8,-1.8158103817071927,2.0258378372152733e-9,3.936492323114592e-6,yes
AHSP,-1.7135256697643493,2.3591239898903686e-9,4.011100563811099e-6,yes
ALAS2,-2.1452965948367635,4.217084684122772e-9,6.373420652604216e-6,yes
ASPM,-1.378270689657219,9.393072848735675e-9,1.2776457688850265e-5,yes
RRM2,-1.486141672097611,1.4109007728266176e-8,1.7446429374534227e-5,yes
LINC02915,2.5795562027695964,2.2341602513054118e-8,2.5324206448546843e-5,yes
NEK2,-2.103745690670924,3.78242958529182e-8,3.957585170703026e-5,yes
WDR11-DT,2.1083354300692867,8.420318411486231e-8,8.180940788073979e-5,yes
H1-5,-1.2234121681755339,1.0211370892316199e-7,9.259671125152329e-5,yes
ELL2,-1.2401841260274127,1.4178545806195658e-7,1.2053536253492084e-4,yes
ENSG00000285774,2.017786939249813,2.942643209119687e-7,2.3544607606144696e-4,yes
HBM,-1.4779695979768421,3.404986476298164e-7,2.5730347805893127e-4,yes
LINC01781,3.1842646355354858,3.925757345529677e-7,2.688016494981884e-4,yes
CREB3L1,-3.3301506060139343,3.9523842008261787e-7,2.688016494981884e-4,yes
CTSE,-1.9558589806329598,5.421774533108932e-7,3.288477773744034e-4,yes
GRHL1,2.17509397838587,5.472033460246113e-7,3.288477773744034e-4,yes
ENSG00000289320,2.0756120848460253,5.560578502875516e-7,3.288477773744034e-4,yes
GYPA,-1.5076651032616706,5.845498118491513e-7,3.312936058655065e-4,yes
MKI67,-1.1225084404916141,1.8940563890081356e-6,0.0010261926885768262,yes
SPTA1,-1.4019213417091307,1.961550500146852e-6,0.0010261926885768262,yes
ZNF385D,2.0425235038244356,2.1459626197810985e-6,0.0010443741546392164,yes
CENPF,-1.2020879086788354,2.149865926326868e-6,0.0010443741546392164,yes
TFDP1,-1.4535010222011195,2.4972246193426477e-6,0.0011712844576654722,yes
