gene,log2fc,pvalue,padj,diffexpressed
HBG2,4.913745323239251,6.1929806636455826e-21,8.423692298690721e-17,yes
CA1,1.9207881573121508,3.099439005415013e-11,2.10792846758275e-7,yes
CPOX,1.3746347476200562,1.3418356650324795e-10,6.083882905257262e-7,yes
EPB42,1.796261428869292,3.694303927566487e-10,1.2562480505689838e-6,yes
HBD,1.783694340469294,5.48076480032955e-10,1.4909872562816509e-6,yes
CENPE,1.0131529564246948,1.5093538660205032e-9,3.421705214268481e-6,yes
SLC6A8,1.8181881107200242,2.0258218321792235e-9,3.936461223043114e-6,yes
AHSP,1.7140055381018,2.3591043802547757e-9,4.011067222528182e-6,yes
ALAS2,2.1478930223483377,4.2170102434063256e-9,6.373308147868093e-6,yes
ASPM,1.3800317395239912,9.39300626344125e-9,1.2776367119532788e-5,yes
RRM2,1.486670648521909,1.4108928870215605e-8,1.7446331862970242e-5,yes
LINC02915,-2.569382292928215,2.2345289734382947e-8,2.532838591392307e-5,yes
NEK2,2.1050352224516726,3.782405693270307e-8,3.957560172297132e-5,yes
WDR11-DT,-2.1063356744245247,8.421043061539369e-8,8.181644837361321e-5,yes
H1-5,1.2243493829503076,1.02112961240391e-7,9.259603325278654e-5,yes
ELL2,1.2420017106794896,1.417846665871545e-7,1.2053468968240473e-4,yes
ENSG00000285774,-2.00679961951926,2.942737210950564e-7,2.3545359731382101e-4,yes
HBM,1.4787354014052048,3.4049607181167e-7,2.5730153159901864e-4,yes
LINC01781,-3.1850222598929223,3.9257837950628306e-7,2.687987061113745e-4,yes
CREB3L1,3.3341926381130427,3.952340922090494e-7,2.687987061113745e-4,yes
CTSE,1.9589824746945592,5.421750239509961e-7,3.2885752106862293e-4,yes
GRHL1,-2.170687259600003,5.472166743024979e-7,3.2885752106862293e-4,yes
ENSG00000289320,-2.063690835681834,5.560743261710283e-7,3.2885752106862293e-4,yes
GYPA,1.5075918794357994,5.845462279968433e-7,3.3129157471721094e-4,yes
MKI67,1.1235242972070336,1.8940429040894346e-6,0.0010261840871196308,yes
SPTA1,1.4047765488382185,1.9615340586024406e-6,0.0010261840871196308,yes
ZNF385D,-2.039136620696731,2.146000738727199e-6,0.0010443653034980464,yes
CENPF,1.2028127156213062,2.149847706068615e-6,0.0010443653034980464,yes
TFDP1,1.4526534405637095,2.4971993246475085e-6,0.001171272593581221,yes
H3C3,0.9991589477328245,3.2854100110571035e-6,0.0014896048990132907,yes
DYRK3,1.419438210872808,4.862496841265491e-6,0.002082883337955555,yes
KCNH2,1.332145719936031,4.900181356754724e-6,0.002082883337955555,yes
CDC34,0.8532152642504187,5.6544992318994195e-6,0.002330681774311997,yes
SLC4A1,1.3912351973172543,6.711063271175e-6,0.002681121495565578,yes
NFIX,1.0408411124752446,6.8989304767530675e-6,0.002681121495565578,yes
KAT2B,1.2636628594704014,7.5090155234204435e-6,0.002837156365265691,yes
CTSB,1.0107681435773856,7.789496452033218e-6,0.0028635873173123196,yes
ST6GALNAC4,1.2437457011362474,9.035829382116016e-6,0.0032240954148332846,yes
PRDX2,1.354854564052445,9.244208291317313e-6,0.0032240954148332846,yes
ENSG00000289601,-1.8850453810087173,9.572245967857494e-6,0.003255042241369941,yes
CCNA2,1.5015082210327726,1.019929042445884e-5,0.0033836767891094913,yes
PHOSPHO1,1.2534699708928605,1.1515730593825283e-5,0.0036039246913034135,yes
TLR5,-1.773705000147051,1.1581459936544318e-5,0.0036039246913034135,yes
BBOF1,1.1574478464614517,1.165804193628512e-5,0.0036039246913034135,yes
AGL,1.4135588658552087,1.2133753495719812e-5,0.003656818354009794,yes
TPTEP1,-1.4096951771958577,1.2366831663317933e-5,0.003656818354009794,yes
GFUS,0.9781690546990764,1.3241998964483351e-5,0.0038322908492532458,yes
RAP1GAP,2.9289498240622436,1.523012389132216e-5,0.004315836357703417,yes
TMOD1,0.9696241287116377,1.582110339466978e-5,0.004345389400321156,yes
ENSG00000260661,-2.5351591710377464,1.5973347303047918e-5,0.004345389400321156,yes
LINC01088,-1.9213651068836854,1.8931577939203854e-5,0.005049163198608839,yes
ST6GAL2,-1.4113477537361383,2.0858770975267168e-5,0.005456173130876616,yes
TPX2,1.0619689794380942,2.335881994085848e-5,0.005994842808218058,yes
IFIT1B,1.3768958795057809,2.3826743129268416e-5,0.006001691852672388,yes
SELENBP1,1.2499759896656164,2.4718424033554735e-5,0.006113090976443846,yes
LGALS3,0.7347021751593996,2.684711948354075e-5,0.006503324998716582,yes
MICAL2,1.3827748398128985,2.741180830907256e-5,0.006503324998716582,yes
ZNF542P,-1.8268033469547822,2.773069033418334e-5,0.006503324998716582,yes
LINC00989,-1.4394464989694622,3.120772436556036e-5,0.007194702827463593,yes
CISD2,1.2231231839040941,3.1882057493862296e-5,0.007227662433858582,yes
BIRC5,1.3190628735655334,3.304284066543162e-5,0.007299250837402602,yes
ENSG00000288843,-1.8798578367766794,3.3271103655268444e-5,0.007299250837402602,yes
GYPC,1.102908563501539,3.443885850255743e-5,0.0074184995829604215,yes
