gene,logFC,CI.L,CI.R,AveExpr,t,P.Value,adj.P.Val,B,diffexpressed
LINC02915,2.744900515033616,1.3787633896694074,4.111037640397825,4.887289896432061,4.144673701396538,3.5924404522120015e-4,0.06603293923106439,0.23090044155093636,no
LINC01781,2.50656346230822,1.4613685684608864,3.5517583561555535,1.650576934781766,4.901540395273402,3.213236373522232e-5,0.0218532205763247,1.7143100337932982,yes
GRHL1,2.197500778945929,1.024076808096424,3.3709247497954338,4.488280911153273,3.8630658594871234,7.339227323790712e-4,0.09692055345456434,-0.4133511674774413,no
ENSG00000260661,2.163863016420355,1.185790153311884,3.141935879528826,2.087074634283873,4.53260373328165,1.0015832189486013e-4,0.04307047214194996,1.2366891121542256,yes
ENSG00000285774,2.161826839288568,1.0866553789703202,3.2369982996068156,7.088937429489535,4.147641458649607,3.5653990633401333e-4,0.06603293923106439,0.22690476046393115,no
ENSG00000177359,2.071443144563979,0.39823694626669415,3.7446493428612637,2.566798203320011,2.553768838047926,0.01735440333918098,0.29729797760647314,-3.107670966157237,no
WDR11-DT,2.01563312328193,1.0467389530682958,2.984527293495564,6.170871406410083,4.291342464594794,2.4718115851742165e-4,0.058334145181900714,0.5621715611226188,no
ENSG00000288790,1.995560614961224,-0.12024257611412681,4.111363806036575,5.409117345643197,1.96509179804494,0.06318448069364006,0.45520937838712505,-4.280443811372597,no
ENSG00000289320,1.976858415359497,0.8341803973658801,3.119536433353114,6.859169189424065,3.5686973910914848,0.0015366095080000869,0.13312714985870816,-1.117730220923062,no
ENSG00000288598,1.9000760792275253,0.7120661902238221,3.0880859682312285,2.925669870292427,3.299202442639371,0.0029908056070874537,0.16328716004641974,-1.6224875491756263,no
ENSG00000288933,1.8673599947326012,0.562480152473078,3.1722398369921243,2.433220093137867,2.951994599649612,0.00690840037126395,0.21822868653801286,-2.3265556499868327,no
LINC02569,1.8510702187524992,0.874331611360062,2.8278088261449366,3.188668865366686,3.8979030458844215,6.202030428007351e-4,0.09155913902931596,-0.26666997484146027,no
ENSG00000289601,1.8176281935269927,0.6438087359926377,2.991447651061348,4.18316377412118,3.194197582557514,0.003863269484393203,0.17873534532896715,-1.8986547956009936,no
CNEP1R1P1,1.793095822811512,0.9147485507474513,2.6714430948755723,1.6255726046155652,4.172423692206052,2.4405839513958854e-4,0.058334145181900714,0.416707378485472,no
