gene,logFC,CI.L,CI.R,AveExpr,t,P.Value,adj.P.Val,B,diffexpressed
Gene1,4.4876507346904955,3.8733766418525954,5.1019248275283955,14.083756276922756,14.527939485701218,1.227308086070599e-24,6.443367451870645e-23,45.58949650187593,yes
Gene5,4.458636450165848,3.8331864171184176,5.084086483213278,13.849609715556388,14.176094985408433,5.3379700377131115e-24,1.4012171348996918e-22,44.14370956494058,yes
Gene4,4.384731669149028,3.788662485118621,4.980800853179435,13.956641784833522,14.628288715736282,8.092928457445867e-25,6.443367451870645e-23,45.99889094998738,yes
Gene3,4.3442523614758795,3.7127732893355887,4.97573143361617,14.005937135913802,13.680540491648408,4.343863680997281e-23,9.122113730094291e-22,42.08035980231029,yes
Gene2,4.265167638400932,3.669033806463384,4.86130147033848,14.12239726339879,14.227857532223677,4.295675656443354e-24,1.4012171348996918e-22,44.357418020232075,yes
Gene38,0.5810516434059565,0.08510170656448973,1.0770015802474233,13.081711525491471,2.3298291071789454,0.022213968043555715,0.29155833057166874,-4.723805499436015,no
Gene50,0.48424890217925665,-0.04668623535789862,1.015184039716412,12.959939196739432,1.8137371513210971,0.07328785214006016,0.5652852708408609,-5.6833328937170124,no
Gene16,0.4686579318363968,-0.24159563097006642,1.17891149464286,12.48728443711585,1.3121688476384545,0.19303628554332491,0.7141989832645824,-6.16740263117163,no
Gene24,0.40832437816345113,-0.15527399483475102,0.9719227511616533,12.873768527191093,1.4407305019707533,0.15337664286893563,0.7141989832645824,-6.22364541218851,no
Gene56,0.3996421147932967,-0.09738283667796482,0.8966670662645582,12.998803933804735,1.598969681505261,0.11358082300566842,0.7141989832645824,-6.075509809645014,no
Gene54,0.37636250349012634,-0.15182977614705284,0.9045547831273055,12.919154818734453,1.4169726635474587,0.1601878080031785,0.7141989832645824,-6.33671813187299,no
Gene17,0.37342905741476784,-0.10605533767687864,0.8529134525064144,12.967749998538794,1.548748158669145,0.12520041867579387,0.7141989832645824,-6.196752256546692,no
Gene102,0.3691715647156357,-0.22416531872689127,0.9625084481581627,12.938001494286116,1.24050959110921,0.218849281846295,0.7141989832645824,-6.604819251370735,no
Gene60,0.3286910926845241,-0.3025441255574369,0.9599263109264852,12.744268448106645,1.035485176232835,0.3034131159088953,0.7141989832645824,-6.6178610179908075,no
Gene70,0.31743288359373345,-0.20294280615032578,0.8378085733377927,12.84196676763887,1.213059454164319,0.2285061132267659,0.7141989832645824,-6.520167848189895,no
Gene97,0.30763040160463895,-0.12073823980954729,0.7359990430188252,13.12231430807241,1.428100442318263,0.15696912863421902,0.7141989832645824,-6.469834826249649,no
Gene61,0.2883006917615951,-0.237651157517776,0.8142525410409662,12.9249522012409,1.090051131755305,0.27880661381959704,0.7141989832645824,-6.742893068735407,no
Gene87,0.2580229131393761,-0.20808521008205927,0.7241310363608114,13.093506172899408,1.1008262436886964,0.2741156650851504,0.7141989832645824,-6.869272617270876,no
