ID,P(B != 0 | Y),model 1,model 2,model 3,model 4,model 5
Intercept,1,1,1,1,1,1
ELL2,0.10056431426040459,1,0,0,0,0
NEK2,0.0642780408887559,0,0,0,0,0
CPOX,0.06268959022707506,0,0,0,1,0
KLK1,0.05634146907303133,0,0,0,0,0
CENPE,0.049625471267981336,0,0,0,0,0
HBG2,0.04853746541983153,0,0,0,0,0
CHD4,0.042912314209271156,0,0,0,0,0
TFEC,0.035399487055902575,0,0,0,0,0
DHFR,0.0323097019536286,0,0,0,0,0
LINC01781,0.03227798028616732,0,0,0,0,0
EPB42,0.031301710460716975,0,0,0,0,0
`H3-3B`,0.030529974371733437,0,0,0,0,0
SHISA7,0.03010670316710075,0,0,0,0,0
ATP1B1,0.02975113641690036,0,0,0,0,0
KIF15,0.02835396267543384,0,0,0,0,0
CENPA,0.028033431796757855,0,0,0,0,0
ASPM,0.02766886934981471,0,0,0,0,0
SLC38A5,0.02759027536774645,0,0,0,0,0
PPME1,0.02717552640213321,0,0,0,0,0
GAB1,0.02711255652493394,0,0,0,0,1
HBD,0.025793976765535687,0,0,0,0,0
OSBPL6,0.025084263638304814,0,0,0,0,0
SLC36A1,0.024909084280682784,0,0,0,0,0
SAR1B,0.02480160937749305,0,0,0,0,0
PRDX2,0.024579557705264043,0,0,0,0,0
SMC4,0.024502384096365692,0,0,0,0,0
SPNS2,0.023976372565776297,0,0,1,0,0
SGTB,0.023704134374877197,0,0,0,1,0
LINC01857,0.022484507279649225,0,0,0,0,0
PCED1B,0.02238034658052261,0,0,0,0,0
CA1,0.019940618932343366,0,0,0,0,0
MRPL37,0.019896587364076207,0,0,0,0,0
DPEP2,0.019216228615690105,0,1,0,0,0
TPX2,0.018904693433756874,0,0,0,0,0
TFRC,0.018282569985337015,0,0,0,0,0
RAP1GAP,0.018155209857768567,0,0,0,0,0
ZNF362,0.01797718975380672,0,0,0,0,0
CTSE,0.0175832729280188,0,0,0,0,0
ERGIC1,0.01755960004185366,0,0,0,0,0
ENSG00000260661,0.017253272894876763,0,0,0,0,0
SPTA1,0.01721918393879896,0,0,0,0,0
PLAG1,0.016949786494239675,0,0,0,0,0
P2RY10,0.016931795100754172,0,0,0,0,0
SOCS2,0.016643459347262777,0,0,0,0,0
RHAG,0.01637879647993652,0,0,0,0,0
AHSP,0.016262799337727337,0,0,0,0,0
TWF2,0.01626043204911082,0,0,0,0,0
SLC6A8,0.016178997320702743,0,0,0,0,0
RCAN3,0.016141120702838522,0,0,0,0,0
ZNF385D,0.01602370318745943,0,0,0,0,0
LINC02324,0.015738681638031153,0,0,0,0,0
GFUS,0.01568139325351152,0,0,0,0,0
TSPYL2,0.015509528099952607,0,0,0,0,0
BBOF1,0.01529410483584984,0,0,0,0,0
H2AX,0.015108035950591845,0,0,0,0,0
CYBRD1,0.015099987169295698,0,0,0,0,0
HBM,0.015066845128664503,0,0,0,0,0
LINC02569,0.014988724604319544,0,0,0,0,0
ENSG00000241525,0.01459859544031805,0,0,0,0,0
ATG4A,0.014482598298108868,0,0,0,0,0
SLC16A1,0.014462239616006848,0,0,0,0,0
MKI67,0.014335352946161702,0,0,1,0,0
RRM2,0.014304578194147021,0,0,0,0,0
KIF11,0.014296055955127571,0,0,0,0,0
NSD2,0.014292268293341149,0,0,0,0,0
ECT2,0.014291794835617846,0,0,0,0,0
HECTD2,0.014158753215369763,0,0,0,0,0
GYPE,0.013968423210602043,0,0,0,0,0
LGALS3,0.013930073135014518,0,0,0,0,0
PIK3CG,0.013806500669232492,0,0,0,0,0
ITSN1,0.013752526488775974,0,0,0,0,0
HERPUD2,0.013658781859562024,0,0,0,0,0
GYPC,0.013645998501032848,0,0,0,0,0
ENTPD5,0.013574506384814127,0,0,0,0,0
CETN4P,0.013501593895425499,0,0,0,0,0
NUF2,0.013430101779206779,0,0,0,0,0
SMIM24,0.013372339936963839,0,0,0,0,0
GYPA,0.013252555132968235,0,0,0,0,0
MINDY2,0.01322462112729337,0,0,0,0,0
APOOL,0.013165912369603825,0,0,0,0,1
ALAS2,0.013091106049321986,0,0,0,0,0
ENSG00000288560,0.013080216521686021,0,0,0,0,0
`H1-5`,0.01291166557219023,0,0,0,0,0
ENSG00000287670,0.012757318354393522,0,0,0,0,0
DYRK3,0.012742641164971136,0,0,0,0,0
RNF168,0.012713760243849665,0,0,0,0,0
AKT3,0.012651737282097002,0,0,0,0,0
CENPV,0.012649369993480488,0,0,0,0,0
MCM4,0.01263279897316489,0,0,0,0,0
SLC25A39,0.012620015614635714,0,0,0,0,0
CDH1,0.012567461807349106,0,0,0,0,0
CDK1,0.012477031382198274,0,0,0,0,0
CCNA2,0.012433946729377721,0,0,0,0,0
OSBP2,0.012433946729377721,0,0,0,0,0
CCNB2,0.012376658344858084,0,0,0,0,0
MITD1,0.012351565085523037,0,0,0,0,0
BLVRB,0.012346357050566706,0,0,0,0,0
HMGB2,0.012301378566852941,0,0,0,0,0
DGAT1,0.012252138963629451,0,0,0,0,0
H3C2,0.012221364211614771,0,1,0,0,0
HMGB3,0.012166443115711648,0,0,0,0,0
EVPL,0.012073171944220999,0,0,0,0,0
`WDR11-DT`,0.01204429102309953,0,0,0,0,0
C12orf29,0.012034821868633474,0,0,0,0,0
ITGB3BP,0.012029613833677143,0,0,0,0,0
GRHL1,0.012014936644254756,0,0,0,0,0
UBB,0.011999785997109068,0,0,0,0,0
CENPF,0.011978480399560442,0,0,0,0,0
SOX6,0.011956701344288514,0,0,0,0,0
ENSG00000288758,0.011828867758996763,0,0,0,0,0
PTGR1,0.011811823280957862,0,0,0,0,0
ZFAND1,0.011777734324880062,0,0,0,0,0
CNEP1R1P1,0.011762583677734372,0,0,0,0,0
MXD1,0.011761636762287767,0,0,0,0,0
ENSG00000249790,0.011748853403758591,0,0,0,0,0
TSPAN17,0.011742224995632353,0,0,0,0,0
BIRC5,0.011726127433040058,0,0,0,0,0
KEL,0.011682569322496202,0,0,0,0,0
SEMA4D,0.011621966733913445,0,0,0,0,0
PSME4,0.01161060374855418,0,0,0,0,0
RNF123,0.011558996856714175,0,0,0,0,0
HKDC1,0.011518279492510136,0,0,0,0,0
CTSB,0.011509283795767383,0,0,0,0,0
STK11,0.011506443049427566,0,0,0,0,0
ENSG00000289601,0.011501708472194538,0,0,0,0,0
FNIP1,0.011483717078709032,0,0,0,0,0
HDAC9,0.01146951334700995,0,0,0,0,0
KLF1,0.011437791679548661,0,0,0,0,0
PLK1,0.011419326828339854,0,0,0,0,0
GHITM,0.011374821802349392,0,0,0,0,0
MYBL2,0.01136109152837361,0,0,0,0,0
ABCB10,0.011314219213766635,0,0,0,0,0
HBB,0.011254090082907182,0,0,0,0,0
UBXN7,0.011229470281295437,0,0,0,0,0
NFIX,0.01122662953495562,0,0,0,0,0
LNPEP,0.011191593663431214,0,0,0,0,0
ENSG00000288869,0.011155610876460203,0,0,0,0,0
CKAP2L,0.011154190503290294,0,0,0,0,0
LINC02915,0.011147088637440752,0,0,0,0,0
FOXO4,0.011144721348824238,0,0,0,0,0
RARG,0.011140933687037816,0,0,0,0,0
CLSPN,0.011123889208998917,0,0,0,0,0
ENSG00000285774,0.01110589781551341,0,0,0,0,0
DAPP1,0.011081751471624969,0,0,0,0,0
SLC4A1,0.011064233535862765,0,0,0,0,0
MFAP3L,0.011056184754566618,0,0,0,0,0
TPST1,0.011047662515547167,0,0,0,0,0
CDC34,0.011045768684653956,0,0,0,0,0
LINC00989,0.011037246445634507,0,0,0,0,0
NRIP1,0.011032985326124782,0,0,0,0,0
CAPRIN2,0.011001737116386797,0,0,0,0,0
TMC1,0.010969541991202208,0,0,0,0,0
PHOSPHO1,0.01094918330910019,0,0,0,0,0
CREB3L1,0.010927877711551563,0,0,0,0,0
ELOVL6,0.010911306691235967,0,0,0,0,0
ENSG00000284959,0.010908939402619453,0,0,0,0,0
MICAL2,0.010904204825386425,0,0,0,0,0
ACHE,0.010851177560376513,0,0,0,0,0
FBXO9,0.010818508977468621,0,0,0,0,0
TYMS,0.010808566365279262,0,0,0,0,0
AVPR1A,0.010805252161216142,0,0,0,0,0
DNAI4,0.010803831788046234,0,0,0,0,0
C9orf40,0.01079294226041027,0,0,0,0,0
CD96,0.010780632359604398,0,0,0,0,0
RBFOX1,0.010763587881565497,0,0,0,0,0
HBA1,0.010723343975084761,0,0,0,0,0
GASK1A,0.01067552474503118,0,0,0,0,0
RNF10,0.010675051287307877,0,0,0,0,0
TFDP1,0.01066037409788549,0,0,0,0,0
TFR2,0.010647590739356316,0,0,0,0,0
YBX3,0.010628178972700901,0,0,0,0,0
KCNH2,0.01061444869872512,0,0,0,0,0
TPTEP1,0.010599771509302735,0,0,0,0,0
KAT2B,0.010590302354836678,0,0,0,0,0
AGL,0.010571364045904566,0,0,0,0,0
PALM2AKAP2,0.010568049841841447,0,0,0,0,0
CMTM6,0.01056331526460842,0,0,0,0,0
ENSG00000288598,0.010553846110142364,0,0,0,0,0
FOXM1,0.010495610810176121,0,0,0,0,0
ENSG00000266401,0.010486615113433368,0,0,0,0,0
SLC1A5,0.010478566332137222,0,0,0,0,0
RAB27B,0.010467203346777955,0,0,0,0,0
SNN,0.010438795883379787,0,0,0,0,0
IGF2BP3,0.010425065609404007,0,0,0,0,0
IFITM3,0.010412755708598134,0,0,0,0,0
HBA2,0.010400919265515564,0,0,0,0,0
PINK1,0.010396184688282536,0,0,0,0,0
IFIT1B,0.010395711230559233,0,0,0,0,0
TLCD4,0.01039334394194272,0,0,0,0,0
ENSG00000289384,0.010377246379350426,0,0,0,0,0
CISD2,0.010376772921627123,0,0,0,0,0
ST6GAL2,0.010368724140330975,0,0,0,0,0
TNNC2,0.010363042647651342,0,0,0,0,0
PANX1,0.010343157423272626,0,0,0,0,0
FAM210B,0.01033368826880657,0,0,0,0,0
ANKH,0.010321378368000697,0,0,0,0,0
NDST3,0.010314276502151155,0,0,0,0,0
