ID,P(B != 0 | Y),model 1,model 2,model 3,model 4,model 5
Intercept,1,1,1,1,1,1
ELL2,0.2412090301513672,1,0,1,0,0
NEK2,0.1682058334350586,0,0,1,0,1
CPOX,0.14370765686035156,0,1,0,0,0
CENPE,0.14077911376953126,0,0,0,1,0
HBG2,0.1406116485595703,0,0,0,0,0
TFEC,0.13606414794921876,0,1,0,0,0
KIF15,0.11146087646484375,0,0,0,0,0
LINC01781,0.0896230697631836,0,0,0,0,0
ASPM,0.08805370330810547,0,0,0,0,0
EPB42,0.08229103088378906,0,0,0,0,0
PRDX2,0.08222675323486328,0,0,0,0,0
GFUS,0.08183212280273437,0,0,0,0,0
RRM2,0.08160114288330078,0,0,0,0,0
HBD,0.07704372406005859,0,0,0,0,0
APOOL,0.07190093994140626,0,0,0,1,1
SLC6A8,0.07040386199951172,0,0,0,0,0
TPX2,0.06990184783935546,0,0,0,0,0
ENSG00000260661,0.0662771224975586,0,0,0,0,0
CTSE,0.066001510620117193,0,0,0,0,0
CA1,0.06099071502685547,0,0,0,0,0
AHSP,0.05989570617675781,0,0,0,0,0
ALAS2,0.05946674346923828,0,0,0,0,0
LGALS3,0.05942459106445312,0,0,0,0,0
GYPA,0.059337806701660153,0,0,0,0,0
ART4,0.058237457275390626,0,0,0,0,0
CDC34,0.05817489624023438,0,0,0,0,0
HBM,0.05588874816894531,0,0,0,0,0
DYRK3,0.05561046600341797,0,0,0,0,0
CCNA2,0.054945945739746094,0,0,0,0,0
ST6GALNAC4,0.05345211029052734,0,0,0,0,0
MKI67,0.053424644470214847,0,0,0,0,0
`H1-5`,0.0521331787109375,0,0,0,0,0
ST6GAL2,0.05123977661132813,0,0,0,0,0
CENPF,0.05119476318359375,0,0,0,0,0
KLF1,0.05108966827392578,0,0,0,0,0
MYBL2,0.051087570190429685,0,0,0,0,0
TFDP1,0.05089302062988281,0,0,0,0,0
H3C3,0.047951889038085935,0,0,0,0,0
UBAC1,0.04734592437744141,0,0,0,0,0
PTTG1,0.04661617279052734,0,0,0,0,0
BF,NA,0.7434306147614713,1,0.8763794590765073,0.8134202037997325,0.8086835970352153
PostProbs,NA,0.0742,0.0053,0.0045,0.0043,0.0043
R2,NA,1,1,1,1,1
dim,NA,2,3,3,3,3
logmarg,NA,7.311051010978616,7.607530850861257,7.475574741485171,7.401023403745185,7.395183308648216
