ID,mean,sd
ELL2,0.245383148,0.002059717719272337
NEK2,0.168077582,0.0011898348403389639
CPOX,0.142827358,8.838543406114963e-4
CENPE,0.142192231,9.893286917731416e-4
HBG2,0.138189107,6.698729714082617e-4
TFEC,0.133553676,0.0010128314499263924
KIF15,0.111519337,7.96169027908716e-4
LINC01781,0.087880972,5.797444910149868e-4
ASPM,0.087714177,6.320840515847368e-4
GFUS,0.083909836,5.845945393024315e-4
EPB42,0.082734144,7.0885956178765e-4
PRDX2,0.082172624,6.655900362201616e-4
RRM2,0.080166168,7.819540098411562e-4
HBD,0.077034264,3.700873106954322e-4
SLC6A8,0.071770287,6.887293213036104e-4
APOOL,0.07125972800000001,3.923900700351897e-4
TPX2,0.070524998,6.915715539230607e-4
CTSE,0.066624831,4.1709922220684335e-4
ENSG00000260661,0.065909673,4.515608412077185e-4
CA1,0.061284637,4.76901244029271e-4
ALAS2,0.060939827,6.468113156786914e-4
AHSP,0.060111924,4.0345739687522666e-4
GYPA,0.059727231,4.256001894175126e-4
LGALS3,0.059296055,3.9681621716552236e-4
ART4,0.058703652,4.518834988701307e-4
CDC34,0.058400536,3.5883691084143165e-4
DYRK3,0.055782396,3.5288589258033906e-4
HBM,0.055421410000000004,3.4759877592164016e-4
CCNA2,0.055074062,5.716818227884002e-4
ST6GALNAC4,0.053878269,3.9077605887231454e-4
MKI67,0.053856792,4.0938514590107536e-4
MYBL2,0.052215861,4.5019255585064115e-4
`H1-5`,0.052054177,4.1814279751326743e-4
ST6GAL2,0.051356468,4.343615673299543e-4
KLF1,0.051045666,3.864598389713713e-4
CENPF,0.050925789,4.251023644945873e-4
TFDP1,0.050485782,3.5287880934457334e-4
H3C3,0.047490387,3.188826578696308e-4
UBAC1,0.04698555,4.3558445370686937e-4
PTTG1,0.04681404,3.7946425991858105e-4
