ID,mean,sd
ELL2,0.1010730643,0.004127431018828002
NEK2,0.0618693957,0.0014964440019577556
CPOX,0.0602422566,0.0015479151926850365
KLK1,0.0552594377,0.001847199916765435
HBG2,0.0494771139,0.0018574827799173349
CENPE,0.049107888599999996,0.0017846079674152665
CHD4,0.0422443754,0.0013778607736891113
TFEC,0.035537464500000004,0.0010740991270940864
EPB42,0.0318306957,9.396619343519306e-4
DHFR,0.0316592816,0.0010996643438852094
LINC01781,0.031046033599999998,0.0010010559501373425
`H3-3B`,0.0307884514,0.0020054772417731513
SHISA7,0.030400220999999998,9.976623308537032e-4
CENPA,0.0292699823,0.001028316627977552
KIF15,0.0292069255,0.0012589387186383303
PPME1,0.0290705554,0.0012503714224746003
ATP1B1,0.0284998911,5.732659563645349e-4
ASPM,0.0281421877,7.893829001541578e-4
SLC38A5,0.0270296352,0.0010060882624409807
SLC36A1,0.0261663387,0.001018266242255711
GAB1,0.026144381,7.784112479901322e-4
HBD,0.0261371237,6.832778736788735e-4
OSBPL6,0.0256057685,6.358016726532909e-4
SAR1B,0.0252373709,0.001058355502396834
SMC4,0.0249887574,7.469912726186891e-4
SGTB,0.024789648,0.0012537146286776043
PRDX2,0.0244201945,7.699043498379447e-4
SPNS2,0.0238338502,4.959763568208558e-4
PCED1B,0.0224731202,4.8204685454903844e-4
LINC01857,0.0223063006,0.0010705831450435683
MRPL37,0.0206898193,6.231618853385359e-4
CA1,0.0197312838,6.561838060157298e-4
DPEP2,0.0194794066,8.931837277334501e-4
TPX2,0.0190491786,6.010228098108538e-4
TFRC,0.0187286331,5.179831066682151e-4
ZNF362,0.0186666756,4.671248799673263e-4
CTSE,0.0184218235,6.302624976447424e-4
RAP1GAP,0.0181586234,0.001031079719246361
ERGIC1,0.0180361421,5.657603491311392e-4
SLC6A8,0.0176501973,7.846497148648982e-4
P2RY10,0.0173231517,8.421462408026359e-4
SPTA1,0.016899946,4.936080459966863e-4
TWF2,0.0168434183,6.812964165825573e-4
GFUS,0.0167503552,6.076649668284509e-4
SOCS2,0.0167232663,6.762359971449889e-4
PLAG1,0.0163420757,4.176750733527595e-4
ZNF385D,0.016327610200000002,4.8732843104438056e-4
HBM,0.0162832323,6.998435983811824e-4
AHSP,0.0161302431,7.213100551581977e-4
LINC02324,0.016117839000000002,6.323744072314546e-4
RCAN3,0.0160482186,7.724282013395884e-4
ENSG00000260661,0.0157520368,3.812736623234173e-4
RHAG,0.0157108701,7.293087036216711e-4
H2AX,0.0152904643,5.261381300300961e-4
BBOF1,0.0149963208,4.082683770151959e-4
TSPYL2,0.0149846699,8.474418361175722e-4
ENSG00000241525,0.0149772105,5.869733364313827e-4
LINC02569,0.0148220996,6.555250834673934e-4
RRM2,0.0146608615,5.33634434335852e-4
KIF11,0.0146110843,4.968640178689737e-4
CYBRD1,0.0145795376,5.637768788456415e-4
