ID,mean,sd
Gene2,0.2289932252,0.0025155484606990334
Gene4,0.2285279848,0.002582686638153845
Gene5,0.2023217011,7.860914495074815e-4
Gene3,0.1843790817,0.002166052450034236
Gene1,0.1709372901,0.0018542744367519796
Gene52,0.0070092202,1.6836301926280865e-4
Gene75,0.0069405937,1.852073723592917e-4
Gene51,0.0069383431,2.333081732284815e-4
Gene60,0.0069141770000000005,1.1388812267406212e-4
Gene99,0.0069137574,1.7900807314395384e-4
Gene97,0.0069071579,1.8542633435976672e-4
Gene105,0.0069037247,2.216702520858152e-4
Gene96,0.0068947792,1.5526074926093422e-4
Gene93,0.0068896483,1.587634248707106e-4
Gene46,0.0068788146,1.2551157010694716e-4
Gene15,0.0068766976,1.428312228503744e-4
Gene22,0.0068745231,1.772990918886626e-4
Gene30,0.0068669319,1.7037990463500478e-4
Gene27,0.0068607521,1.4525811310938893e-4
Gene80,0.0068545531,1.7980669306504946e-4
Gene56,0.0068540956,1.6215188301726383e-4
Gene85,0.006851635,1.5739993424536238e-4
Gene73,0.006839447,1.8289472147962912e-4
Gene41,0.0068321038,1.6183965369587273e-4
Gene104,0.0068308068,1.800432834742185e-4
Gene62,0.0068293192,1.613181626061437e-4
Gene39,0.0068250847,1.3265469938574458e-4
Gene84,0.0068250273,1.89465693912029e-4
Gene35,0.0068243217,1.5378338846287076e-4
Gene92,0.0068233489,1.4634051767667687e-4
Gene65,0.0068226433,1.7187558201278423e-4
Gene23,0.0068125341999999995,1.968390811217235e-4
Gene61,0.0068100166,1.449438651058478e-4
Gene102,0.0068089486,1.9085947467949643e-4
Gene13,0.0068055535,1.807667747017012e-4
Gene64,0.006803341,1.1346419439629397e-4
Gene98,0.0068031693,1.5838964508946494e-4
Gene74,0.0068023303,1.3194529625572529e-4
Gene47,0.0068007852,1.9628195638915865e-4
Gene37,0.006799717,1.0692542417238485e-4
Gene20,0.0067994309,1.162887743722018e-4
Gene53,0.006799202,1.3323492980112642e-4
Gene31,0.006796112,2.104420827411772e-4
Gene14,0.0067910385,1.3845108129127123e-4
Gene18,0.0067893793000000004,1.24380720402275e-4
Gene57,0.00678833,1.247396672808346e-4
Gene71,0.0067847253,1.5820644552331668e-4
Gene32,0.0067835998,1.5359676394652468e-4
Gene45,0.0067834282,2.320754151275448e-4
Gene72,0.0067818832999999995,2.0603541446991293e-4
Gene16,0.0067807006,1.835583246238403e-4
Gene58,0.0067763329,1.3925164569899244e-4
Gene66,0.0067760086,2.0482116768168508e-4
Gene88,0.0067748832,2.0082027060411785e-4
Gene38,0.0067747115,1.6885607966697554e-4
Gene24,0.0067700767,1.7657422201005312e-4
Gene87,0.0067691804,1.6919123008215018e-4
Gene81,0.006768589,1.8994271215992125e-4
Gene90,0.006766777,2.353211740097633e-4
Gene70,0.0067665481,1.60634575019376e-4
Gene29,0.006763916,1.7069510089240023e-4
Gene40,0.0067608643,1.6606699410515681e-4
Gene94,0.0067607879,1.7206103862450788e-4
Gene7,0.0067528153,1.4185910334087756e-4
Gene10,0.0067500688,1.5158852878895557e-4
Gene17,0.0067493247999999995,1.952540002918136e-4
Gene95,0.006747303,1.1282792710534425e-4
Gene68,0.0067462159,1.7215512705531986e-4
Gene11,0.0067457011,1.8850676605272173e-4
Gene83,0.0067455674,1.373145167620671e-4
Gene48,0.0067440033,1.1281441710964466e-4
Gene8,0.0067425726,1.1742420812232694e-4
Gene69,0.0067411614,1.5359568218482655e-4
Gene67,0.0067397307,1.616516826616552e-4
Gene100,0.0067394448,1.9626033938272453e-4
Gene12,0.0067305565,1.6299386533530792e-4
Gene55,0.0067303086,1.3976780632272466e-4
Gene42,0.0067205047,1.1887995009723979e-4
Gene79,0.0067178725,7.071471039206307e-5
Gene33,0.0067166709,1.5100630513432958e-4
Gene49,0.0067152596,1.7319987603549585e-4
Gene43,0.0067111397,1.6464780330352957e-4
Gene76,0.0067105674,1.515422604909636e-4
Gene77,0.006709671,7.662359875390873e-5
Gene82,0.0067088127000000004,1.2752732642592505e-4
Gene86,0.006708565,2.0402834892784436e-4
Gene63,0.0067064667,1.5975555939764838e-4
Gene89,0.0067012978,2.5998554099829815e-4
Gene6,0.0067010688,9.333962181648502e-5
Gene78,0.0067001915,1.328119563737894e-4
Gene34,0.0066989709,1.5581507789288776e-4
Gene103,0.0066955948,1.2299354260086624e-4
Gene44,0.0066926003000000005,1.2675423915334925e-4
Gene19,0.0066921617,1.7933642172684522e-4
Gene50,0.0066917802,1.6011307522831075e-4
Gene28,0.0066912651,1.468084375167178e-4
Gene91,0.0066843607,1.064597901442919e-4
Gene26,0.0066760637,1.76114233261035e-4
Gene54,0.006674061,1.1645175416550069e-4
Gene25,0.0066717529,1.7332072133247972e-4
Gene21,0.0066518973,1.1892756499936333e-4
Gene36,0.0066478921,1.8445614520617708e-4
Gene59,0.0066435051,1.891095724414523e-4
Gene9,0.0066428375,1.587845176088582e-4
Gene101,0.0066374969,1.0750607873092576e-4
