GeneID,Overall
CENPE,100
KIF15,91.31836174866287
GFUS,74.96766420230345
NEK2,74.27053913871909
ELL2,69.30518245446471
CPOX,68.72701922944529
CDC34,65.29553971327535
TPX2,65.00307480557942
UBAC1,61.42474765407708
LINC01781,59.35214662300713
ART4,58.546588211469206
LGALS3,56.572967947099784
RRM2,56.46254589241316
ASPM,55.168228698304375
CCNA2,54.76757846550191
TFEC,53.217305005622386
APOOL,47.23035248928747
CTSE,46.60355978495871
MKI67,45.79643549033132
PTTG1,43.90512504266335
DYRK3,43.23987448399152
`H1-5`,42.973692551707295
PRDX2,40.141972031118215
ST6GALNAC4,39.14658083456858
H3C3,37.76372110651298
EPB42,33.238339163298285
HBM,32.167209388842956
KLF1,31.6341851034118
MYBL2,27.330555998380245
AHSP,27.16825296103859
GYPA,26.728483293813525
CENPF,25.68590001395324
HBD,24.726408695341682
SLC6A8,22.922865807172805
CA1,22.044237271048825
ST6GAL2,18.715049097089427
TFDP1,14.665533099752823
ENSG00000260661,11.995061024941997
ALAS2,6.509170422064939
